"categoryName","location/lat","location/lng","totalScore","address","postalCode","title","reviewsCount","reviewsDistribution","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","street","price"
"Government office","31.7850546","74.253147",,"Mohallah Bilal Park, GT Rd, near Lal MAsjid, opposite Chatha Hospital On, Muridke, Sheikhupura, Punjab, Pakistan",,"Govt Technical Training Center (F) Muridke","0",,,,,,,"Mohallah Bilal Park, GT Rd, near Lal MAsjid, opposite Chatha Hospital On",
"Cafe","31.7875074","74.2570253","3.7","Q7Q4+2R2 Entrance to Hospital, Muridke, Sheikhupura, Punjab, Pakistan",,"Hassan Cold Corner","15",,"6","2","2","5","0","Q7Q4+2R2 Entrance to Hospital",
"Baby clothing store","31.7861635","74.2574006","5","GT Rd, next to THQ Hospital, Muridke, Sheikhupura, Punjab 39000, Pakistan","39000","Poppins Kids Garments Muridke","9",,"9","0","0","0","0","GT Rd, next to THQ Hospital",
"Office of Vital Records","31.7867661","74.2594864","4","Q7P5+PQ5 THQ Hospital, Muridke, Sheikhupura, Punjab, Pakistan",,"ddho office muridky","4",,"3","0","1","0","0","Q7P5+PQ5 THQ Hospital",
"Brick manufacturer","31.7874005","74.255393","4","Q7P4+X56, Entrance to Hospital, Muridke, Sheikhupura, Punjab, Pakistan",,"Kiln","3",,"2","0","0","0","1","Q7P4+X56, Entrance to Hospital",
"Shoe store","31.7878011","74.2571631","3.7","Q7Q4+4VF Entrance to Hospital, Muridke, Sheikhupura, Punjab, Pakistan",,"Milli","3",,"2","0","1","0","0","Q7Q4+4VF Entrance to Hospital",
"Flour mill","31.7881816","74.2570502","4.7","23 KM Main G.T Road, near Tehsil Head Quarter Hospital, Muridke, Sheikhupura, Punjab 39000, Pakistan","39000","Star Flour Mills","20",,"17","1","1","1","0","23 KM Main G.T Road, near Tehsil Head Quarter Hospital",
"Gas station","31.7890184","74.2561653","3.7","GT Rd، near THQ Hospital, Muridke, Sheikhupura, Punjab, Pakistan",,"بسم اللہ سی این جی","71",,"25","15","5","18","8","GT Rd، near THQ Hospital",
"General store","31.7880012","74.2580465","4.2","Tehsil Head Quarter Hospital, Hafiz General Store , Street # 3, Colony, Muridke, 39000, Pakistan","39000","Hafiz General Store","6",,"4","1","1","0","0","Tehsil Head Quarter Hospital, Hafiz General Store , Street # 3, Colony",
"Government office","31.7816312","74.2579312",,"THQ, Hospital، Inside, Muridke, Sheikhupura, Punjab 54950, Pakistan","54950","Family Health Clinic (FHC) Mureed Ke","0",,,,,,,"THQ, Hospital، Inside",
"Pharmacy","31.7876744","74.2571785","5","THQ Hospital, Muridke, Sheikhupura, Punjab, Pakistan",,"Agha Khanum Pharmacy Muridke Branch","1",,"1","0","0","0","0","THQ Hospital",
"Medical Center","31.7429682","74.2604818",,"P7V6+55Q, Main Bazaar Hakeem Pura, Kala Shah Kaku, Pakistan",,"Main Bazaar Hakeem Pura Kala Shah Kaku","0",,,,,,,"P7V6+55Q, Main Bazaar Hakeem Pura",
"Medical Center","31.7682626","74.2659017",,"Q798+892 Badar Colony, Gulberg Colony Mannoo Abad, Sheikhupura, Punjab, Pakistan",,"Kahaf Poly Clinic","0",,,,,,,"Q798+892 Badar Colony",
"Emergency room","31.7356671","74.2623729","3","P7P6+2JW ایمرجینسی, KSK Rd, Kala Shah Kaku, Sheikhupura, Punjab, Pakistan",,"Emergency Room","1",,"0","0","0","1","0","P7P6+2JW ایمرجینسی, KSK Rd",
"Medical Center","31.7592024","74.2601664","5","Q756+M3M, Ravi Rayon Kala Shah Kaku, Sheikhupura, Punjab, Pakistan",,"Punjab Social Security","1",,"1","0","0","0","0","Q756+M3M",
"Health consultant","31.7573069","74.2613467",,"Hussain Town Rd, Ravi Rayon, Kala Shah Kaku, Sheikhupura, Punjab, Pakistan",,"Gillani Hospital","0",,,,,,,"Hussain Town Rd",
"Government office","31.7871529","74.2578565","2","Q7P5+V7C, Muridke, Sheikhupura, Punjab, Pakistan",,"Admin Block THQ Hospital Muridke","1",,"0","0","0","0","1","Q7P5+V7C",
"Hospital","31.7515093","74.2624239",,"AH2, Kala Shah Kaku, Sheikhupura, Punjab, Pakistan",,"EPI Center BHU Lambray","0",,,,,,,"AH2",
"Private hospital","31.7796904","74.2597223",,"Ittehad Colony Kala Shah Kaku, Sheikhupura, Punjab 39020, Pakistan","39020","Abada Gynae and General Surgical Hospital","0",,,,,,,,
"Hospital","31.7573367","74.2608883",,"Hussain Town Rd, Ravi Rayon Kala Shah Kaku, Sheikhupura, Punjab, Pakistan",,"Sakina hospital (trust)","0",,,,,,,"Hussain Town Rd",
"Hospital","31.7533129","74.2621328",,"Main GT Rd, Ravi Rayon Muridke, Sheikhupura, Punjab 39000, Pakistan","39000","Ayesha Hospital","0",,,,,,,"Main GT Rd",
"Hospital","31.7866621","74.2594579","1","Q7P5+MQ8, Exit, Muridke, Sheikhupura, Punjab, Pakistan",,"EPI Center THQ Muridke","1",,"0","0","1","0","0","Q7P5+MQ8, Exit",
"Hospital","31.7874758","74.2548118","5","Q7P3+XWV, Muridke, Sheikhupura, Punjab, Pakistan",,"Aslam Medical Store","1",,"1","0","0","0","0","Q7P3+XWV",
"Hospital","31.7540775","74.2582122","5","Q735+J7X, Altaf Rd, Ravi Rayon Kala Shah Kaku, Sheikhupura, Punjab, Pakistan",,"Waris Hospital","2",,"2","0","0","0","0","Q735+J7X, Altaf Rd",
"Veterinary pharmacy","31.8089375","74.2454375","4.6","R65W+H5V, Sheikhupura road, Peer Colony Kata mandi, Muridke, Sheikhupura, Punjab, Pakistan",,"Salamat Animal life care hospital","5",,"4","0","0","1","0","R65W+H5V, Sheikhupura road",
"Hospital","31.7967243","74.2550916",,"Bangla puli stop, Main GT Rd, Bilal park, Muridke, Sheikhupura, Punjab, Pakistan",,"Sandhu Eye Clinic and pharmacy+optical shop","0",,,,,,,"Bangla puli stop, Main GT Rd",
"Laboratory","31.7992384","74.2546546",,"Q7X3+MVR, Service Rd, Canal Park Piran Basti, Muridke, Sheikhupura, Punjab, Pakistan",,"Doctors hospital laboratory DDLC","0",,,,,,,"Q7X3+MVR, Service Rd",
"Dental clinic","31.7993809","74.2553265","4.3","Q7X4+Q44, Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab, Pakistan",,"Al-Shifa Dental Complex","3",,"2","0","0","1","0","Q7X4+Q44",
"Hospital","31.7996628","74.2553565",,"Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab, Pakistan",,"City Children & General Hospital","0",,,,,,,,
"Medical Center","31.8095216","74.2535107",,"Hussaini chok hadoke, Rehmanpura, Muridke, Sheikhupura, Punjab 39000, Pakistan","39000","Ittehad medical Store hadoke muridke","0",,,,,,,"Hussaini chok hadoke",
"Government hospital","31.8034308","74.2542727",,"R733+9PC, Mohalla Faiz e Madina, Muridke, Sheikhupura, Punjab, Pakistan",,"Afnan","0",,,,,,,"R733+9PC",
"Government hospital","31.7958953","74.2453295",,"Q6WW+944, Luxurion Garden road, Muridke, Sheikhupura, Punjab, Pakistan",,"Govt Veterinary and Livestock Hospital, Muridke","0",,,,,,,"Q6WW+944, Luxurion Garden road",
"Hospital","31.8067129","74.2434094",,"R64V+M9M, Mohalla Afzal Kot Muridke, Sheikhupura, Punjab, Pakistan",,"Dr aftab clinic","0",,,,,,,"R64V+M9M",
"Medical Center","31.7948971","74.1511345",,"Service Factory, Muridke - Sheikhupura Rd, Sheikhupura, Punjab, Pakistan",,"PESSI Social Security Medical Center Service Industry , Sheikhupura","0",,,,,,,"Service Factory, Muridke - Sheikhupura Rd",
"Hospital","31.7986001","74.153815",,"Q5X3+CGW, Pindi Ratan Singh, Sheikhupura, Punjab, Pakistan",,"Hospital","0",,,,,,,"Q5X3+CGW",
"Hospital","31.8089864","74.2439626",,"R65V+HHW ara stop, Lahore - Sheikhupura - Faisalabad Rd, Afzal Colony Muridke, Sheikhupura, Punjab, Pakistan",,"Hafeeza Shareef Hospital","0",,,,,,,"R65V+HHW ara stop, Lahore - Sheikhupura - Faisalabad Rd",
"Hospital","31.8095216","74.2535107",,"R753+RC2, Rehmanpura, Muridke, Sheikhupura, Punjab, Pakistan",,"Basic Health Unit Chak34","0",,,,,,,"R753+RC2",
"Hospital","31.7951517","74.2533617",,"Q7W3+389, Sarab Pindi Ratan Singh, Sheikhupura, Punjab, Pakistan",,"Basic health unit","0",,,,,,,"Q7W3+389",
"Hospital","31.8031914","74.2548343",,"Mohalla Sheikhan Muridke, Sheikhupura, Punjab, Pakistan",,"Al-Sheikh General Hospital & Maternity Home","0",,,,,,,,
"Hospital","31.8093776","74.2532203","4","R753+Q75، شیخوپورہ - مریدکے روڈ, Muridke, Sheikhupura, Punjab, Pakistan",,"Sheikh Ali Zafar Ruqya Center","1",,"0","1","0","0","0","R753+Q75، شیخوپورہ - مریدکے روڈ",
"Hospital","31.7994794","74.2553844",,"Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab, Pakistan",,"Hussain Hospital & Maternity Home","0",,,,,,,,
"Hospital","31.795648","74.1520393","3","Q5W2+7R3, Muridke - Sheikhupura Rd, Sheikhupura, Punjab, Pakistan",,"Social Security Dispensary","2",,"1","0","1","0","0","Q5W2+7R3, Muridke - Sheikhupura Rd",
"Medical Center","31.8018916","74.2542361","3","R723+QM5, Tanki Wala Bazar, Mohalla Faiz Madina Mohalla Faiz e Madina, Muridke, Sheikhupura, Punjab, Pakistan",,"New Insaf Medical Store","1",,"0","0","0","1","0","R723+QM5, Tanki Wala Bazar",
"Hospital","31.7990995","74.2529648","3","Q7X3+J5P, Main GT Rd, Canal Park Piran Basti, Kāmoke, Sheikhupura, Punjab, Pakistan",,"DR'S Hospital Kamoki","1",,"0","0","0","1","0","Q7X3+J5P, Main GT Rd",
"Hospital","31.8222937","74.1670967","4","R5C8+WR9, Unnamed Road, Kuthiala Virkan, Sheikhupura, Punjab, Pakistan",,"EPI Center BHU Kuthiala Virkan","1",,"0","1","0","0","0","R5C8+WR9, Unnamed Road",
"Hospital","31.8222363","74.166979","5","R5C8+VQX، Unnamed Road, Kuthiala Virkan, Sheikhupura, Punjab, Pakistan",,"Buniadi markaz sehat khutiala virkan","1",,"1","0","0","0","0","R5C8+VQX، Unnamed Road",
"Public health department","31.8037249","74.2548078","4.3","family care hospital muridke sheikhupura punjab,pakistan behind Govt.girls primery school, Mohalla Sheikhan, Muridke, Sheikhupura, Punjab 39000, Pakistan","39000","family care hospital muridke","7",,"5","1","1","0","0","family care hospital muridke sheikhupura punjab,pakistan behind Govt.girls primery school",
"Hospital","31.8102931","74.255154","5","Markaz Taiba, Pakistan",,"Govt. Alaziz Hospital","2",,"2","0","0","0","0","Markaz Taiba",
"Hospital","31.7992306","74.2551502","4.5","Q7X4+M3R, قومی شاہراہ, ۔ ۵ Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab, Pakistan",,"Zeeshan health care clinic","2",,"1","1","0","0","0","Q7X4+M3R, قومی شاہراہ",
"Hospital","31.796837","74.255261","4","Q7W4+P4J, Bangla Puli Stop, Near Bank Alfalah, G.T Road, Muridke, Lahore, 39000, Pakistan","39000","Maryam Trust Hospital","1",,"0","1","0","0","0","Q7W4+P4J, Bangla Puli Stop, Near Bank Alfalah, G.T Road",
"Hospital","31.814892","74.2474107","5","R67W+WWF, Daoke Muridke, Sheikhupura, Punjab, Pakistan",,"JAWBRA HOSPITAL MURIDKEجبڑا ہسپتال مریدکے۔ ۔","5",,"5","0","0","0","0","R67W+WWF",
"Hospital","31.8053857","74.2536158","5","AL SHIFA FAMILY HOSPITAL, NH 5, Mohalla Gaddafi Park ۔ ۵, Muridke, Sheikhupura, Punjab 39000, Pakistan","39000","Alshifa Family Hospital Muridke","20",,"20","0","0","0","0","AL SHIFA FAMILY HOSPITAL, NH 5",
,"31.6248458","73.9128298",,"JWF7+W4P, Sheikhupura-Faisalabad Rd Bhikhi, Sheikhupura, 39350, Pakistan","39350","Jabbar Gynecological Hospital","0",,,,,,,"JWF7+W4P, Sheikhupura-Faisalabad Rd Bhikhi",
"Medical Center","31.6368796","73.8489584","4.6","Thatha tararan p.o. Tibbi humbo tehsil and, Sheikhupura, 39304, Pakistan","39304","Hakeem Haji Ghulam Mohyuddin","5",,"3","2","0","0","0","Thatha tararan p.o. Tibbi humbo tehsil and",
"Doctor","31.6250216","73.9135149","4.7","JWG7+2C2, Sheikhupura-Faisalabad Rd, Bhikhi Rd, Sheikhupura, Punjab 39530, Pakistan","39530","Mian Medical Centre","3",,"2","1","0","0","0","JWG7+2C2, Sheikhupura-Faisalabad Rd, Bhikhi Rd",
"Hospital","31.6199625","73.9082104",,"JW95+X7P, Bhikhi, Sheikhupura, Punjab, Pakistan",,"دیہی مرکز صحت بھکی","0",,,,,,,"JW95+X7P",
"Medical Center","31.6247722","73.9126045",,"JWF7+W25, Service Rd, Bhikhi, Sheikhupura, Punjab, Pakistan",,"Naeem Akbar's Hospital","0",,,,,,,"JWF7+W25, Service Rd",
"Hospital","31.6209533","73.9087354","2.7","JWC5+9FQ, Sheikhupura-Faisalabad Rd, Bhikhi Rd, Sheikhupura, Punjab 39530, Pakistan","39530","Basic Health Center Bhikhi","3",,"1","0","1","0","1","JWC5+9FQ, Sheikhupura-Faisalabad Rd, Bhikhi Rd",
"Hospital","31.6244783","73.9122452","4.5","JWF6+QVX, Service Rd, Bhikhi, Sheikhupura, Punjab, Pakistan",,"Jabar General Hospital","4",,"2","2","0","0","0","JWF6+QVX, Service Rd",
"Hospital","31.6277157","73.9167248","5","JWH8+3MQ, Bhikhi, Sheikhupura, Punjab, Pakistan",,"NAWAB DIN HOSPITAL BHIKHI","2",,"2","0","0","0","0","JWH8+3MQ",
"Hospital","31.6187993","73.8529193","5","JV93+G57, Tibbi Hamouke, Sheikhupura, Punjab, Pakistan",,"Government Hospital","1",,"1","0","0","0","0","JV93+G57",
"Hospital","31.7142082","73.996184","3.9","PX7W+MFM, Gujranwala Rd, Mohalla Hanjran Wala, Sheikhupura, Punjab, Pakistan",,"Al Shifa Hospital","9",,"6","0","2","1","0","PX7W+MFM, Gujranwala Rd",
"Hospital","31.7106978","73.9830726","3.7","PX6M+76G, Allama Iqbal Park, Sheikhupura, Punjab, Pakistan",,"Nimra General Hospital","18",,"9","3","4","1","1","PX6M+76G",
"Government hospital","31.6453867","74.2079509",,"J6W5+554, Millat Town Housing Scheme, Sheikhupura, Punjab, Pakistan",,"Menuo hospital loher","0",,,,,,,"J6W5+554",
"Hospital","31.6305684","74.2277941","5","J6JH+64F, Unnamed Road, Jamal Park, Lahore, Sheikhupura, Punjab, Pakistan",,"Life stock hospital","1",,"1","0","0","0","0","J6JH+64F, Unnamed Road",
"Hospital","30.8936386","74.2325646",,"V6VM+F24, Usmanwala, Kasur, Punjab, Pakistan",,"Makka Formacy","0",,,,,,,"V6VM+F24",
"Beverage distributor","31.205781","73.9370389",,"6W4P+8R7, Sheller road, near javeed hospital, Phool Nagar, Kasur, Punjab, Pakistan",,"HM-HUSSAIN & Co","0",,,,,,,"6W4P+8R7, Sheller road, near javeed hospital",
"Hospital","31.1590684","74.0286141","4.6","525H+JCH, Pattoki, Kasur, Punjab, Pakistan",,"بنیادی مرکز صحت کانوں جھوک","5",,"4","0","0","1","0","525H+JCH",
"Hospital","31.7132296","73.9749666","3","PX7F+7XW, Civil Lines, Sheikhupura, Punjab, Pakistan",,"Clinic of Doctor Babar Amin","3",,"1","0","0","0","2","PX7F+7XW",
"Hospital","31.7008128","73.9807886",,"PX2J+88F Shabistan Chowk, Bhikhi Rd, Sheikhupura, Punjab, Pakistan",,"Sheikhupura dental & medical centre","0",,,,,,,"PX2J+88F Shabistan Chowk, Bhikhi Rd",
"Medical Center","31.7118215","73.9788092","5","Lahore Rd, opposite DHQ hospital, Sheikhupura, Punjab, Pakistan",,"Al hameed pharmacy","1",,"1","0","0","0","0","Lahore Rd, opposite DHQ hospital",
"Medical Center","31.698311","73.9785863","5","Qasim Arrian Wali Gali, Bhikhi Rd, Sheikhupura, Punjab 39350, Pakistan","39350","Family Welfare Centre (FWC) Sheikhupra II","2",,"2","0","0","0","0","Qasim Arrian Wali Gali, Bhikhi Rd",
"Hospital","31.7136808","73.9740231",,"PX7F+FJC, Lahore - Sargodha Rd, opposite to Mezan Bank, adjacent Siddique Children Hospital, Civil Lines, Sheikhupura, Punjab, Pakistan",,"صائم کلینک ڈاکٹر عامر حلیم","0",,,,,,,"PX7F+FJC, Lahore - Sargodha Rd, opposite to Mezan Bank, adjacent Siddique Children Hospital",
"Veterans hospital","31.7068993","73.9770764",,"Stadium Rd, near Gol Masjid, opposite Sanatzar, Jahangirabad, Sheikhupura, Punjab 39630, Pakistan","39630","Zooland Vets","0",,,,,,,"Stadium Rd, near Gol Masjid, opposite Sanatzar",
"Medical Center","31.7108101","73.9739192",,"Dar Ul Barkat Hospital, Sheikhupura, Punjab, Pakistan",,"Dr.Faisal Nadeem-Tb&Chest Specialist","0",,,,,,,"Dar Ul Barkat Hospital",
"Hospital","31.7097081","73.9824679","5","behind shimla Bakary, Allama Iqbal Park, Sheikhupura, Punjab 39350, Pakistan","39350","Arhan Poly Clinic | ارحان پولی کلینک","2",,"2","0","0","0","0","behind shimla Bakary",
"Hospital","31.7197784","73.9836252","4.3","PX9M+WF6, Sheikhupura, Punjab, Pakistan",,"Sumaira clinic","9",,"7","0","1","1","0","PX9M+WF6",
"Children's hospital","31.7132309","73.9751752","5","3 Johar Rd, Civil Lines, Sheikhupura, Punjab, Pakistan",,"Shafiq Children Clinic","5",,"5","0","0","0","0","3 Johar Rd",
"Hospital","31.7084221","73.9811282",,"PX5J+9F6, Civil Quarters Rd, Allama Iqbal Park, Sheikhupura, Punjab, Pakistan",,"Medical Center Sheikhupura","0",,,,,,,"PX5J+9F6, Civil Quarters Rd",
"Heart hospital","31.7071097","73.9779823","3.7","Madni street, Jahangirabad, Sheikhupura, Punjab 39350, Pakistan","39350","Omer Heart Care Centre @ Darul Shifa Hospital Opposite Gol Masjid of Cricket Stadium, Khalid Road Sheikhupura","3",,"2","0","1","0","0","Madni street",
"Fast food restaurant","31.7108948","73.9790391","4.3","Hospital Rd, near Shahzad Super Store, Jinnah Park, Sheikhupura, Punjab, Pakistan",,"Down Town Cafe","10",,"7","1","1","1","0","Hospital Rd, near Shahzad Super Store",
"Hospital","31.711403","73.9819893","4.8","hamza palaza, Allama Iqbal Park, Jinnah Park, Sheikhupura, Pakistan",,"Sheikhupura eye center","9",,"8","0","0","1","0","hamza palaza, Allama Iqbal Park",
"Hospital","31.7119843","73.9640691","5","PX67+QJW, Sheikhupura, Punjab, Pakistan",,"Al Rashid orthopedic Clinic","4",,"4","0","0","0","0","PX67+QJW",
"Hospital","31.7100326","73.9811007","5","PX6J+2C9, Jinnah Park, Sheikhupura, Punjab, Pakistan",,"Khalid Lateef Hospital","2",,"2","0","0","0","0","PX6J+2C9",
"Hospital","31.7212913","73.9816771",,"PXCJ+GM7, united park،, Jandiala - Sheikhupura Rd, Sheikhupura, Punjab 39350, Pakistan","39350","Allied Hospital","0",,,,,,,"PXCJ+GM7, united park،, Jandiala - Sheikhupura Rd",
"Animal hospital","31.7052508","73.9731206",,"PX4F+465, Stadium Park Sheikhupura, Punjab, Pakistan",,"Sheikhupura veterinary doctor","0",,,,,,,"PX4F+465",
"Hospital","31.7107223","73.9830176","5","PX6M+76J Nimra General Hospital, Allama Iqbal Park, Sheikhupura, Punjab, Pakistan",,"Dr M Asfar Raiss PT","57",,"56","0","0","1","0","PX6M+76J Nimra General Hospital",
"Hospital","31.7068125","73.9756875","3.6","Stadium Park Sheikhupura, Punjab 39350, Pakistan","39350","Usman Diagnostic Centre","9",,"3","3","2","1","0",,
"Hospital","31.7120111","73.9744845","4.8","Zainab Hospital, College Road, Civil Lines, Sheikhupura, Punjab 39350, Pakistan","39350","Zainab Gynae Hospital","4",,"3","1","0","0","0","Zainab Hospital, College Road",
"Medical Center","31.7236872","73.9719129","4","muhalla rasoolnager, Shah Colony Rd, near uswa clinic, Sheikhupura, 39350, Pakistan","39350","Zohaib medicose medical store & general store","1",,"0","1","0","0","0","muhalla rasoolnager, Shah Colony Rd, near uswa clinic",
"Car rental agency","31.7110812","73.9824799","4.3","PX6J+CXQ, near Yousaf Qureshi Hospital Old Taxi Stand, Allama Iqbal Park, Sheikhupura, Punjab, Pakistan",,"B.M Motors & Rent a Car Sheikhupura, Punjab Pakistan","6",,"4","1","0","0","1","PX6J+CXQ, near Yousaf Qureshi Hospital Old Taxi Stand",
"Gas station","31.7109704","73.9830564","1","PX6M+96M, near Iqbal Park, beside Nimra Hospital, Allama Iqbal Park, Sheikhupura, Punjab, Pakistan",,"Moon Light Filling Station","1",,"0","0","1","0","0","PX6M+96M, near Iqbal Park, beside Nimra Hospital",
"Medical Center","31.7237656","73.9335841",,"Sheikhupura, Punjab 39350, Pakistan","39350","Medical center by Dr.Naveed","0",,,,,,,,
"Medical Center","31.718016","73.9740501",,"41/7 Malik Anwar Rd, Behari Colony Civil Lines, Sheikhupura, Punjab, Pakistan",,"District Population Welfare office, Sheikhupura","0",,,,,,,"41/7 Malik Anwar Rd",
"Hospital","31.7163333","73.9803011","5","Railway Rd, Civil Lines, Sheikhupura, Punjab, Pakistan",,"Zubaida Memorial Hospital","15",,"15","0","0","0","0","Railway Rd",
"Medical Center","31.7158858","73.9821884",,"PX8J+9V4, Sheikhupura, Punjab, Pakistan",,"Rana Clinic","0",,,,,,,"PX8J+9V4",
"Animal hospital","31.6917053","73.9838225","5","Tehsil &, Street no 4 .Near Govt .Elementary School For Boys, Jevan Pura Khurd Sheikhupura, Pakistan",,"Civil Veterinary Hospital Jevan Pura","4",,"4","0","0","0","0","Tehsil &, Street no 4 .Near Govt .Elementary School For Boys",
"Private hospital","31.6918833","73.9733696","4.4","Lahore - Sheikhupura - Faisalabad Rd, Sheikhupura, Punjab, Pakistan",,"Kangna Hospital","7",,"5","1","0","0","1","Lahore - Sheikhupura - Faisalabad Rd",
"Hospital","31.7111085","73.9828017","4.7","12 Lahore - Sargodha Rd, near old taxi stand, Allama Iqbal Park, Sheikhupura, Punjab 39350, Pakistan","39350","Zahid Eye and Dental Hospital","47",,"40","3","1","1","2","12 Lahore - Sargodha Rd, near old taxi stand",
"Medical Center","31.729285","73.9777366","5","PXHH+P39, near masjid madina tul ilm, Jandiala - Sheikhupura Rd, Mohalla Marajpura, Sheikhupura, Punjab, Pakistan",,"Mirza Sohail Clinic","1",,"1","0","0","0","0","PXHH+P39, near masjid madina tul ilm, Jandiala - Sheikhupura Rd",
"Medical Center","31.7272024","73.9580502",,"PXG5+V6M, Unnamed Road, Sheikhupura, Punjab, Pakistan",,"Shahe Lasani Medical Store","0",,,,,,,"PXG5+V6M, Unnamed Road",
"Medical Center","31.7240789","73.9790529","5","PXFH+JJM, Jundiala Rd, Sheikhupura, Punjab, Pakistan",,"Saleem Clinic","1",,"1","0","0","0","0","PXFH+JJM, Jundiala Rd",
"Animal hospital","31.7050296","73.9491079","4.3","PW4X+2J9, Bypass, Sheikhupura, Punjab, Pakistan",,"Sheikhupura Hospital","3",,"2","0","0","1","0","PW4X+2J9, Bypass",
"Medical Center","31.7315159","73.9736404",,"Street no 3 house no 3 mohallha Meriaj Pura, Jandiala Rd, Sheikhupura, Lahore, Punjab 39350, Pakistan","39350","Medical Store","0",,,,,,,"Street no 3 house no 3 mohallha Meriaj Pura, Jandiala Rd",
"Medical Center","31.7094952","73.9810022",,"Civil Quarters Rd, Jinnah Park, Sheikhupura, Punjab 57000, Pakistan","57000","Kent homoeopathic store Jinnah park Sheikhupura","0",,,,,,,"Civil Quarters Rd",
"Hospital","31.712537","73.9796797",,"PX7H+2V7, Civil Lines, Sheikhupura, Punjab, Pakistan",,"Alshifa Lab","0",,,,,,,"PX7H+2V7",
"Hospital","31.7061139","73.9739578","4.9","PX4F+CHW, Stadium Rd, Stadium Park Sheikhupura, Punjab, Pakistan",,"Ramzan Memorial Hospital","9",,"8","1","0","0","0","PX4F+CHW, Stadium Rd",
"Hospital","31.7248084","73.9573258","4","PXF4+WWG, Sheikhupura, Punjab, Pakistan",,"Sheikhupura institute of Advance Sciences (SIAS) Construct By Prestige Engineering & Construction (PECO)","1",,"0","1","0","0","0","PXF4+WWG",
"Medical Center","31.71895","73.9693594","3","PX99+HPQ, Malik Anwar Rd, Behari Colony Bihari Colony, Sheikhupura, Punjab, Pakistan",,"Malik Clinic","1",,"0","0","0","1","0","PX99+HPQ, Malik Anwar Rd",
"Hospital","31.6997379","73.9774304",,"Tariq road Mohallah rasool, pura, Sheikhupura, Pakistan",,"Shair e rabani electric works","0",,,,,,,"Tariq road Mohallah rasool",
"Hospital","31.7114856","73.9765188",,"Class Rooms and Halls, Government High School Basketball Court, Sheikhupura, Punjab, Pakistan",,"EPI Center BHU Mallian kalan","0",,,,,,,"Class Rooms and Halls, Government High School Basketball Court",
"Medical Center","31.6929066","73.9714515","4","MXVC+5H8, Sheikhupura, Punjab, Pakistan",,"Manoor Clinic","2",,"1","0","0","1","0","MXVC+5H8",
"Hospital","31.7126435","73.9824677",,"PX7J+3X4, Sheikhupura, Punjab, Pakistan",,"Parveen Clinic","0",,,,,,,"PX7J+3X4",
"Hospital","31.7256896","73.9798629","3","Mohalla Farooq Ganj, Sheikhupura, Punjab, Pakistan",,"Munawar Clinic","1",,"0","0","0","1","0",,
"Hospital","31.7132871","73.974945",,"PX7F+8X8, Civil Lines, Sheikhupura, Punjab, Pakistan",,"Sheikhupura Medical Complex","0",,,,,,,"PX7F+8X8",
"Hospital","31.7289644","73.9122605","4","Adil Town Machikey, Machikey, Punjab 39500, Pakistan","39500","فاطمہ گائنی کلینک","2",,"1","0","0","1","0","Adil Town Machikey",
"Hospital","31.71823","73.9837233",,"PX9M+7FX, Sheikhupura, Punjab, Pakistan",,"Life Care Poly Clinic Sheikhupura","0",,,,,,,"PX9M+7FX",
"Hospital","31.7182364","73.9837507",,"PX9M+7GR, Sheikhupura, Punjab, Pakistan",,"RA Poly Clinic","0",,,,,,,"PX9M+7GR",
"Hospital","31.70402","73.963047",,"PX37+J63, Sheikhupura, Punjab, Pakistan",,"Zainab Trust Hospital","0",,,,,,,"PX37+J63",
"Hospital","31.7070691","73.9778526","3.7","PX4H+R4H, Ch. Miraj Ud Din House, Tariq Road, Muslim Ganj, Madni Street،, Jahangirabad, Sheikhupura, Punjab, Pakistan",,"Dr M Latif Najmi Hospital","3",,"2","0","1","0","0","PX4H+R4H, Ch. Miraj Ud Din House, Tariq Road, Muslim Ganj, Madni Street،",
"Medical Center","31.7138685","73.9737153","5","PX7F+GFW, Civil Lines, Sheikhupura, Punjab, Pakistan",,"Chand Medicine Company","1",,"1","0","0","0","0","PX7F+GFW",
"Hospital","31.7179659","73.9755878",,"PX9G+56P, Malik Anwar Rd, Civil Lines, Sheikhupura, Punjab, Pakistan",,"Asma Clinic","0",,,,,,,"PX9G+56P, Malik Anwar Rd",
"Hospital","31.717188","73.9700389",,"36, Civil Lines, Sheikhupura, Punjab, Pakistan",,"Khan hospital","0",,,,,,,"36",
"Hospital","31.7202282","73.9472422","5","PWCW+3VX, Sultan Colony, Sheikhupura, Punjab, Pakistan",,"Shah Latif Pharma","1",,"1","0","0","0","0","PWCW+3VX",
"Medical Center","31.721113","73.9814361",,"PXCJ+CHV, Jandiala - Sheikhupura Rd, Sheikhupura, Punjab, Pakistan",,"Javed Gastro gynae and heart clinic","0",,,,,,,"PXCJ+CHV, Jandiala - Sheikhupura Rd",
