"location/lat","location/lng","address","postalCode","title","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","categoryName","hotelStars","street","price","totalScore"
"31.3596565","73.8215922","9R5C+VJ8, Chokhian Wala, Nankana Sahib, Punjab, Pakistan",,"Golra Sharif Kiryana Store","8",,,,,,"Shopping mall",,"9R5C+VJ8",,"4.5"
"31.3870185","73.8702053","9VPC+R34, Nankana Sahib, Punjab, Pakistan",,"AlHabeeb karyana stor","1",,,,,,"Shopping mall",,"9VPC+R34",,"5"
"31.387019","73.8702027","Nankana Sahib, Punjab, Pakistan",,"Misri wala nankana sahib","5",,,,,,"Shopping mall",,,,"5"
"31.3514906","73.8362488","9R2P+HFX, Nankana Sahib Rd, اڈہ, Village Mangtanwala, Nankana Sahib, Punjab, Pakistan",,"Faisal Mughal Pap And Sentry Stor","2",,,,,,"Shopping mall",,"9R2P+HFX, Nankana Sahib Rd",,"3"
"31.3505823","73.8363748","9R2P+6GQ, Lahore - Jaranwala Road, M-2 Moterway, adjacent to Al-Jalil Garden, opposite Faizpur Interchange, Kot Noor shah, Pakistan",,"Saddique Center","0",,,,,,"Shopping mall",,"9R2P+6GQ, Lahore - Jaranwala Road, M-2 Moterway, adjacent to Al-Jalil Garden, opposite Faizpur Interchange",,
"31.3773171","73.9059399","Umar Plaza, Tori Allah Yar, Lahore-Jaranwala Rd, Tori Allah, Yar, Pakistan",,"CHAWA Center","2",,,,,,"Shopping mall",,"Umar Plaza, Tori Allah Yar, Lahore-Jaranwala Rd",,"3.5"
"31.3984977","73.8641851","9VX7+9MV chah chanika kharal, Village Mangtanwala, Nankana Sahib, Punjab, Pakistan",,"Dara Rai Asif Kharal","5",,,,,,"Shopping mall",,"9VX7+9MV chah chanika kharal",,"5"
"31.3211574","73.7960065","More Khunda, Nankana Sahib, Punjab, Pakistan",,"Zaheer kamishan shop","123",,,,,,"Shopping mall",,,,"4.1"
"31.321037","73.7835428","8QCM+CC7, Malik sufyan super store jaranwala Road, More Khunda, Nankana Sahib, Punjab, Pakistan",,"Sufyan malik","3",,,,,,"Shopping mall",,"8QCM+CC7, Malik sufyan super store jaranwala Road, More Khunda",,"5"
"31.3068991","73.8988525","8V4X+QG5 Kot Jan Muhammad, Karianwala, Nankana Sahib, Punjab, Pakistan",,"Sandhu kariyana store","1",,,,,,"Shopping mall",,"8V4X+QG5 Kot Jan Muhammad",,"5"
"31.3175234","73.792647","8Q9V+232, head baloki road More Khunda, More Khunda, Nankana Sahib, Punjab, Pakistan",,"Imtiaz Yousaf Genral Store","64",,,,,,"Shopping mall",,"8Q9V+232, head baloki road More Khunda",,"4.1"
"31.3240007","73.7977732","8QFX+J42, Main Muhammadi Bazar, More Khunda, Nankana Sahib, Punjab, Pakistan",,"Nazir Shoes House","1",,,,,,"Shopping mall",,"8QFX+J42, Main Muhammadi Bazar",,"5"
"31.3214483","73.795791","8QCW+H8F, More Khunda, Nankana Sahib, Punjab, Pakistan",,"Utility Store More Khunda","4",,,,,,"Shopping mall",,"8QCW+H8F",,"4"
"31.4377265","74.0361477","C2QP+3FR, Kot Mehmood, Fatowala, Sheikhupura, Punjab, Pakistan",,"Salamat Rafiq Shopping Centre","1",,,,,,"Shopping mall",,"C2QP+3FR",,"5"
"31.4513931","73.7087769","Guru Bazaar, Nankana Sahib, Punjab, Pakistan",,"Ameen Center","40",,,,,,"Shopping mall",,"Guru Bazaar",,"3.9"
"31.3934407","73.775907","9QVG+99F, روڈ, Nankana Sahib, Punjab, Pakistan",,"Rai Liaqat sentary store","6",,,,,,"Shopping mall",,"9QVG+99F, روڈ",,"4"
"31.3953636","73.9651322","9XW8+43R, Madhodas, Nankana Sahib, Punjab, Pakistan",,"Usman General Store","18",,,,,,"Shopping mall",,"9XW8+43R",,"3.5"
"31.3209549","73.7924965","8QCR+9XQ, Service Rd W, More Khunda, Nankana Sahib, Punjab, Pakistan",,"Maqsood Chopra Cloth House","56",,,,,,"Shopping mall",,"8QCR+9XQ, Service Rd W",,"3.9"
"31.3510136","73.8366103","Adda Nankana Sahib Rd, Village Mangtanwala, Nankana Sahib, Punjab, Pakistan",,"Barkat General Store","2","2","0","0","0","0","Shopping mall",,"Adda Nankana Sahib Rd",,"5"
"31.1452403","73.4951061","Opposite Mohalla Adnan Park, main Jaranwala Rd, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Utility Store Corporation Of Pakistan","3","2","1","0","0","0","Shopping mall",,"Opposite Mohalla Adnan Park, main Jaranwala Rd",,"4.7"
"31.1366175","73.4982012","4FPX+J7W, Sayedwala - Bara Ghar- Bucheki Rd, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Bismillah Pan Shop","1","1","0","0","0","0","Shopping mall",,"4FPX+J7W, Sayedwala - Bara Ghar- Bucheki Rd",,"5"
"31.1351598","73.4992639","4FPX+3P6, Syedwala Rd, Syed Wala Purana, Nankana Sahib, Punjab, Pakistan",,"Haji abdul sattar iron store syedwala","2","2","0","0","0","0","Shopping mall",,"4FPX+3P6, Syedwala Rd",,"5"
"31.1417287","73.4979047","4FRX+M4, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Zain karyana store","2","1","0","1","0","0","Shopping mall",,"4FRX+M4",,"3"
"31.1435745","73.4983624","4FVX+96X, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Hafeez Center syedwala syedwala sweet & backer","1","0","0","0","0","1","Shopping mall",,"4FVX+96X",,"2"
"31.7932275","73.4282901","QCVH+78V Math Village, Gabbi Road, Nankana Sahib, Punjab, Pakistan",,"Zaheer Karina Store","6",,,,,,"Shopping mall",,"QCVH+78V Math Village, Gabbi Road",,"5"
"31.7132319","73.3724871","P97C+7XX, Sangla Hill, Faisalabad, Punjab, Pakistan",,"Al Maryam Mart","32",,,,,,"Shopping mall",,"P97C+7XX",,"4.1"
"31.7148441","73.37523","31.7148479, 73.3751797, Main bazar, Sangla Hill, Pakistan",,"Umer Shopping Center","3",,,,,,"Shopping mall",,"31.7148479, 73.3751797, Main bazar",,"4"
"31.7836614","73.4376458","QCMQ+F36, Marh Balochan, Nankana Sahib, Punjab, Pakistan",,"Saroya market","1",,,,,,"Shopping mall",,"QCMQ+F36",,"5"
"31.7282395","73.4194944","PCH9+7QX, Baroya, Nankana Sahib, Punjab, Pakistan",,"Rafy super store","1",,,,,,"Shopping mall",,"PCH9+7QX",,"5"
"31.7299482","73.5746887","PHHF+XVG, Dhaban Lalanwala Road, Safdarabad, Nankana Sahib, Punjab, Pakistan",,"China Shopping Mall","27",,,,,,"Shopping mall",,"PHHF+XVG, Dhaban Lalanwala Road",,"4"
"31.7154985","73.3760236","P98G+5CR, Railway Street Number 2, Sangla Hill, Nankana Sahib, Punjab, Pakistan",,"Rawaj Collection","23",,,,,,"Shopping mall",,"P98G+5CR, Railway Street Number 2",,"4"
"31.7148267","73.3749523","P97F+WXP, Sangla Hill, Nankana Sahib, Punjab, Pakistan",,"mehak jewllers main bazar sangla hill","16",,,,,,"Shopping mall",,"P97F+WXP",,"4.1"
"31.7824194","73.4365048","QCJP+XJ6, sufi markeet Road, Marh Balochan, Nankana Sahib, Punjab, Pakistan",,"SUFI ONLINE","10",,,,,,"Shopping mall",,"QCJP+XJ6, sufi markeet Road",,"4.3"
"31.7148081","73.3743221","P97F+WPG, CAMETTI BAZAR, Sangla Hill, Nankana Sahib, Punjab 39600, Pakistan","39600","SIDDIQUE pharmacy & MART","31",,,,,,"Shopping mall",,"P97F+WPG, CAMETTI BAZAR",,"4.1"
"31.7096206","73.3717174","P95C+RMW, Sangla Hill, Faisalabad, Punjab, Pakistan",,"786 super store","1",,,,,,"Shopping mall",,"P95C+RMW",,"5"
"31.7152908","73.3732851","P98F+487, Marh Balochan Road, Sangla Hill, Nankana Sahib, Punjab, Pakistan",,"Bholla Kryana store","2",,,,,,"Shopping mall",,"P98F+487, Marh Balochan Road",,"4.5"
"31.7832557","73.4372401","QCMP+8V5 Marh Village, Marh gharbi Road, Marh Balochan, Nankana Sahib, Punjab, Pakistan",,"Zaheer Karina Store","0",,,,,,"Shopping mall",,"QCMP+8V5 Marh Village, Marh gharbi Road",,
"31.0420267","73.7465577","2PRW+RJ7, Karachi shopping Centre hanjrai, Kalan, Pattoki, Pakistan",,"Karachi shopping Centre","2",,,,,,"Shopping mall",,"2PRW+RJ7, Karachi shopping Centre hanjrai",,"5"
"31.0423555","73.7445245","2PRV+WRR, Hanjrai Kalan, Kasur, Punjab, Pakistan",,"Shopping Mall","6",,,,,,"Shopping mall",,"2PRV+WRR",,"4.2"
"31.3380293","74.3799264","MAIN Lahore – Kasur Rd, Lahore, Punjab 54000, Pakistan","54000","Lahore Sky","60",,,,,,"Shopping mall",,"MAIN Lahore – Kasur Rd",,"4.4"
"31.4938524","74.4181164","Airport Rd, adjacent to Honda showroom, Khuda Buksh Colony KB Society, Lahore, Punjab 54000, Pakistan","54000","Galaxy Mall","12",,,,,,"Shopping mall",,"Airport Rd, adjacent to Honda showroom",,"4.9"
"31.3580343","74.1861905","Kuwait Mall, Violet Block Bahria Town, Lahore, Punjab 54000, Pakistan","54000","Kuwait Mall Bahria Town Lahore","282",,,,,,"Shopping mall",,"Kuwait Mall",,"4.1"
"31.3715102","74.3653694","Near,Gov't Hospital, Lahore – Kasur Rd, Kahna Nau, Lahore, Punjab 54760, Pakistan","54760","Rizwan Mall","85",,,,,,"Shopping mall",,"Near,Gov't Hospital, Lahore – Kasur Rd",,"4"
"31.485168","74.4085726","P Block, DHA, Main, Ghazi Rd, near Rehman Gardens, Rehman Gardens, Lahore, Punjab, Pakistan",,"Avenue Mall","3497",,,,,,"Shopping mall",,"P Block, DHA, Main, Ghazi Rd, near Rehman Gardens",,"4.1"
"31.0421519","73.7404043","Shaikum Road, Hanjrai Kalan, Kasur, Punjab, Pakistan",,"Hanjra General Store","14",,,,,,"Shopping mall",,"Shaikum Road",,"3.6"
"31.5319296","74.3515966","18 Main Boulevard Gulberg, Main Gulberg, Lahore, Punjab 54660, Pakistan","54660","Gulberg Galleria","9098",,,,,,"Shopping mall",,"18 Main Boulevard Gulberg",,"4.4"
"31.4505135","74.3537873","METRO STATION # 21 CHUNGI AMAR SIDU, MAIN Lahore – Kasur Rd, Gul Colony, Lahore, Punjab 54000, Pakistan","54000","Rizwan Mall","172",,,,,,"Shopping mall",,"METRO STATION # 21 CHUNGI AMAR SIDU, MAIN Lahore – Kasur Rd",,"4"
"31.0407364","73.8514113","2VR2+7HV, By Pass, opposite Punjab Collage, Pattoki, Kasur, Punjab, Pakistan",,"Brandway MALL","10",,,,,,"Shopping mall",,"2VR2+7HV, By Pass, opposite Punjab Collage",,"4.5"
"31.0195419","73.8526944","2V93+R38, Near Railway Station, Pattoki, Kasur, Punjab, Pakistan",,"Pattoki Shopping Centre","5",,,,,,"Shopping mall",,"2V93+R38, Near Railway Station",,"3.8"
"31.1225103","73.7281397","4PFH+272, Shahrah-e-Quaid-e-Azam Rd, Halla, Kasur, Punjab, Pakistan",,"Al Madina shopping centre","3",,,,,,"Shopping mall",,"4PFH+272, Shahrah-e-Quaid-e-Azam Rd",,"4.7"
"31.03013","73.854345","Building No 2, Halla Road, Street No. 5, Pattoki, 55300, Pakistan","55300","Amazon Shopping","1",,,,,,"Shopping mall",,"Building No 2, Halla Road, Street No. 5",,"5"
"30.9048193","73.8678079","Shamsabad, Kasur, Punjab, Pakistan",,"Zohaib Shopping Centre","4",,,,,,"Shopping mall",,,,"4.8"
"31.0956369","73.6096221","3JW5+7R5, Mopalka, Nankana Sahib, Punjab, Pakistan",,"Yousaf Super Store","20",,,,,,"Shopping mall",,"3JW5+7R5",,"4.7"
"31.0207693","73.8486679","2RCX+8F3, Faisal Colony Pattoki, Kasur, Punjab, Pakistan",,"city computers","3",,,,,,"Shopping mall",,"2RCX+8F3",,"5"
"31.3202357","74.3850535","89CP+32V, Block A Central Park Housing Scheme, Lahore, Punjab, Pakistan",,"Fitness equipment store","1","0","0","0","1","0","Shopping mall",,"89CP+32V",,"3"
"31.2953472","74.4123162","7CW6+4WP, Kot Amir Khan, Lahore, Punjab, Pakistan",,"Bhatti General Store Kot Amir Lahore","1","1","0","0","0","0","Shopping mall",,"7CW6+4WP",,"5"
"31.3189836","74.4017645","48 - Zinia Commercial, Zinia Zinnia Block Bahria Nasheman, Lahore, Punjab, Pakistan",,"Bahria Mart","3","1","0","0","1","1","Shopping mall",,"48 - Zinia Commercial",,"3.3"
"31.2713965","74.4122992","7CC6+HW3, Lahore – Kasur Rd, Kasur, Punjab, Pakistan",,"Mall road dulha market","0",,,,,,"Jewelry store",,"7CC6+HW3, Lahore – Kasur Rd",,
"31.3184338","74.389509","899Q+9RC, Block A Central Park Housing Scheme, Lahore, Punjab, Pakistan",,"Al Doha Shopping Mart","18","10","2","0","3","3","Shopping mall",,"899Q+9RC",,"4.1"
"31.0518989","73.780552","3Q2J+Q63 niaz beg, Chak 42 (Niaz Beg), Kasur, Punjab, Pakistan",,"Aliabdullah Mobile Center","1","1","0","0","0","0","Shopping mall",,"3Q2J+Q63 niaz beg",,"5"
"31.1181117","74.4484887","DALGIRAN BAZAAR, Walled City, Kasur, Punjab 55050, Pakistan","55050","THE MALL OF JANNAT","44",,,,,,"Clothing store",,"DALGIRAN BAZAAR",,"4.7"
"31.2072532","73.9464878","6W4W+WH5, Sherpur Road, Phool Nagar, Kasur, Punjab, Pakistan",,"Al majeed shopping centre","9",,,,,,"Shopping mall",,"6W4W+WH5, Sherpur Road",,"3.9"
"31.0283438","74.3509915","29H2+89Q, Noorpur - Tara Garh Rd, Noor Pur Pul, Kasur, Punjab, Pakistan",,"طاہر جنرل سٹور","64","34","8","11","9","2","Shopping mall",,"29H2+89Q, Noorpur - Tara Garh Rd",,"3.8"
"31.3001049","73.8076815","8R25+23V, Mor Khunda, Nankana Sahib, Punjab, Pakistan",,"Malik Arshad Atishbaz","3",,,,,,"Shopping mall",,"8R25+23V",,"2.3"
"30.984918","74.2783917","X7MH+X96 Old Bus Stop, Depal Pur Rd, Khudian Khas, Kasur, Punjab, Pakistan",,"BHATTI GAS CENTER","2","2","0","0","0","0","Outlet mall",,"X7MH+X96 Old Bus Stop, Depal Pur Rd",,"5"
"31.1377455","73.9129288","4WQ7+35V, Pattoki, Kasur, Punjab, Pakistan",,"Mian shopping center","6",,,,,,"Shopping mall",,"4WQ7+35V",,"4.3"
"31.3240007","73.7977732","8QFX+J42, More Khunda, Nankana Sahib, Punjab, Pakistan",,"Madina Commission Shop","3",,,,,,"Shopping mall",,"8QFX+J42",,"3.3"
"31.2999538","74.0684187","73X9+X9M، Hospital Road, Manga Mandi, Manga - Raiwind Road, Manga Mandi, Lahore, Punjab 55270, Pakistan","55270","Owais Super Store","37",,,,,,"Shopping mall",,"73X9+X9M، Hospital Road, Manga Mandi, Manga - Raiwind Road",,"3.8"
"31.1721062","73.8171819","Sarai Mughal, Kasur, Punjab 55300, Pakistan","55300","Kamboh Shopping Center","1",,,,,,"Shopping mall",,,,"5"
"31.4476853","73.7026955","CPX3+33G, Railway Rd, Nankana, Nankana Sahib, Punjab, Mohalla Rasool Nagar, Nankana Sahib, Punjab, Pakistan",,"Kakar General Store & Stationery Mart","24",,,,,,"Shopping mall",,"CPX3+33G, Railway Rd, Nankana, Nankana Sahib, Punjab",,"4.1"
"31.2713324","74.100442","74C2+G5P, Manga - Raiwind Road, Talib Sarai, Kasur, Punjab, Pakistan",,"Muhktar Karyana Store","10",,,,,,"Shopping mall",,"74C2+G5P, Manga - Raiwind Road",,"4.6"
"31.2076644","73.945068","6W5W+328, Phool Nagar, Kasur, Punjab 12345, Pakistan","12345","Asad Ashraf Shopping Center","1",,,,,,"Shopping mall",,"6W5W+328",,"5"
"30.9854268","74.2769513","X7PG+5QG، مولانا صادق روڈ, Khudian Khas, Kasur, Punjab, Pakistan",,"ایم ایس کمیونیکشن انیڈموباںل سنیڑ","1","1","0","0","0","0","Shopping mall",,"X7PG+5QG، مولانا صادق روڈ",,"5"
"30.9932264","74.3508379","X9V2+78W, Choke Tara Garh, Kasur, Punjab, Pakistan",,"فوجی ہارڈ ویئر اینڈ سنٹری سٹور","9","7","1","0","0","1","Shopping mall",,"X9V2+78W",,"4.6"
"30.9874988","74.2749373","X7PF+XXV, Circular Rd, Khudian Khas, Kasur, Punjab, Pakistan",,"Joyia market","13","7","1","2","3","0","Shopping mall",,"X7PF+XXV, Circular Rd",,"3.8"
"31.0122147","74.3559982","2964+V9Q, Kasur, Punjab, Pakistan",,"Ashfaq karyana store","5","3","0","2","0","0","Shopping mall",,"2964+V9Q",,"3.4"
"31.0288398","74.3510382","دیپالپور روڈ, Noor Pur Pul, Kasur, Punjab, Pakistan",,"Al Dawa Mobile centre","1","1","0","0","0","0","Shopping mall",,"دیپالپور روڈ",,"5"
"30.9854889","74.2766959","X7PG+5MW، مولانا صادق روڈ, Khudian Khas, Kasur, Punjab, Pakistan",,"Mohsin Mobile center","4","2","0","1","0","1","Shopping mall",,"X7PG+5MW، مولانا صادق روڈ",,"3.3"
"30.9881073","74.2763169","near Gov.High scandry school & College, Khudian Khas, Kasur, Punjab 55030, Pakistan","55030","Quetta norozi chappal khudian khas","1","1","0","0","0","0","Shopping mall",,"near Gov.High scandry school & College",,"5"
"31.0328899","74.3591024","Qutba stop, main Depal Pur Rd, Kasur, Punjab, Pakistan",,"Al Noor Market Qutba","8","4","1","2","0","1","Shopping mall",,"Qutba stop, main Depal Pur Rd",,"3.5"
"30.9841718","74.2762651","X7MG+MG6, Sakeel town, Lahore, Kasur, Punjab, Pakistan",,"Raja Sahib Shopping Centre","0",,,,,,"Department store",,"X7MG+MG6",,
"30.9886574","74.2798919","X7QH+FX6 Mandi Bus Stop madi, Depal Pur Rd, Khudian Khas, Kasur, Punjab, Pakistan",,"پنجاب کمیشن شاپ","3","0","0","1","1","1","Shopping mall",,"X7QH+FX6 Mandi Bus Stop madi, Depal Pur Rd",,"2"
"30.9883111","74.2796338","Ghalla Mandi, Khudian Khas, Kasur, Punjab, Pakistan",,"Haji Ahmad Din And Sons Commision Agent","0",,,,,,"Shopping mall",,"Ghalla Mandi",,
"30.9926003","74.3508871","Choke Tara Garh, Kasur, 55050, Pakistan","55050","Ibrahim Cash & Carry Store","0",,,,,,"Shopping mall",,"Choke Tara Garh",,
"30.9906376","74.2836355","X7RM+7F2, Abu Bakkar, Kasur, Punjab, Pakistan",,"Al-Hafiz Building Material Stor","0",,,,,,"Shopping mall",,"X7RM+7F2",,
"31.2146808","73.9551432","6X74+V3C, Multan Rd, Phool Nagar, Kasur, Punjab, Pakistan",,"Ahmad Electric and Sanitary Store multan road phool nagar","3","3","0","0","0","0","Shopping mall",,"6X74+V3C, Multan Rd",,"5"
"31.2349017","73.9880133","AL-KHAIR GLOBAL PVT. LTD., 49-K.M., MULTAN ROAD,،, NH 5, Sarai Chanba, Kasur, Punjab, Pakistan",,"Al-Khair Globle Pvt Ltd.","10","9","1","0","0","0","Shopping mall",,"AL-KHAIR GLOBAL PVT. LTD., 49-K.M., MULTAN ROAD,،, NH 5",,"4.9"
"30.9869562","74.2757117","Baldia Chok, Khudian Khas, Kasur, Punjab, Pakistan",,"Zam Zam Mobile Center","2","2","0","0","0","0","Mobile caterer",,"Baldia Chok",,"5"
"31.2373155","73.9913366","6XPR+WGG, Multan Rd, Sarai cheenba, Kasur, Punjab, Pakistan",,"Pak Paradise Water And Engineering-Service","11","7","2","0","1","1","Shopping mall",,"6XPR+WGG, Multan Rd",,"4.4"
"31.2460737","74.0093666","62W5+JP6, Dina Nath, Lahore, Punjab, Pakistan",,"AZEEEM TRADERS","2","2","0","0","0","0","Shopping mall",,"62W5+JP6",,"5"
"31.2635744","74.0330867","727M+C6G, Kasur, Punjab, Pakistan",,"Kamran Agrimall-Manga Mandi","2","0","2","0","0","0","Shopping mall",,"727M+C6G",,"4"
"31.243276","74.016583","62V8+8J8, Main bazaar, Dina Nath, Lahore, Punjab, Pakistan",,"Manzoor Ahmad kryana Store","3","3","0","0","0","0","Shopping mall",,"62V8+8J8, Main bazaar",,"5"
"31.2526393","74.0147486","7237+3V5, near dina nath, Phool Nagar, Kasur, Punjab, Pakistan",,"Rana Akram Shop","4","2","1","0","1","0","Shopping mall",,"7237+3V5, near dina nath",,"4.3"
"31.2170346","74.0454403","Martung Road, Toheed Abad, Kasur, Punjab, Pakistan",,"YAMMAN MOBILE LAB","1","0","1","0","0","0","Shopping mall",,"Martung Road",,"4"
"31.2139476","73.9564871","6X74+9QQ Near Faizane Madina, Unnamed Road, Anwar Town Phool Nagar, Kasur, Punjab, Pakistan",,"ZamZam General Store","6","4","0","1","1","0","Shopping mall",,"6X74+9QQ Near Faizane Madina, Unnamed Road",,"4"
"31.2431232","73.9771104","6XVG+6RX, Sarai Chanba, Kasur, Punjab, Pakistan",,"Rana Ishfaq Market","0",,,,,,"Shopping mall",,"6XVG+6RX",,
"31.2114022","73.9499841","Multan Rd, Kot Fazal Shah, Phool Nagar, Kasur, Punjab, Pakistan",,"Meezan Bank - Phool Nagar Branch","9","5","1","2","1","0","Bank",,"Multan Rd",,"3.8"
"31.5605223","74.322116","Regal Chowk، Mall Rd، The Mall, Mozang Chungi, Lahore, Punjab 54000, Pakistan","54000","Raja Sahib - Mall Road","314",,,,,,"Shopping mall",,"Regal Chowk، Mall Rd، The Mall",,"4.1"
