"title","location/lat","location/lng","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","address","price","rank","categoryName","totalScore","postalCode","reviewsCount","street"
"Habib shakeel","31.8006565","74.2557629",,,,,,"R724+786, Karkhana Bazar, Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab 54000, Pakistan",,"60","Grocery store",,"54000","0","R724+786, Karkhana Bazar"
"Al Noor Store","31.6149341","74.2961424","7","1","0","0","0","Sui Gas Road, Saeed Park, Shahdara, Lahore, 54000, Pakistan",,"101","Supermarket","4.9","54000","8","Sui Gas Road, Saeed Park, Shahdara"
"Majeed General Store","31.5958443","74.3803125","3","0","1","1","0","Street No. 171,Al-Qadir Scheme, Baghbanpura, Lahore, Punjab, Pakistan",,"102","Supermarket","3.8",,"5","Street No. 171,Al-Qadir Scheme"
"Fareed & Son's","31.5722052","74.3367293",,,,,,"shop#5, Rex Market Boher Wala Chowk, 39 Nicholson Rd, Garhi Shahu, Lahore, Punjab, Pakistan",,"103","Industrial supermarket",,,"0","shop#5, Rex Market Boher Wala Chowk, 39 Nicholson Rd"
"M.k family supermarker","31.5902565","74.3382845","1","0","0","1","0","H8RQ+38G old masjid, Road, Chah Miran, Lahore, Punjab, Pakistan",,"104","Supermarket","4",,"2","H8RQ+38G old masjid, Road"
"Metron Stores","31.5743735","74.3236981","2","0","0","0","0","Nishter Rd, Gawalmandi, Lahore, Punjab 54000, Pakistan",,"105","Industrial equipment supplier","5","54000","2","Nishter Rd"
"Haidery General Store","31.5644999","74.3861332","1","0","0","0","0","Main Street No. 30, Gunj Gunj Bazar Mughalpura, Lahore, Punjab 54000, Pakistan",,"106","Supermarket","5","54000","1","Main Street No. 30"
"General Store","31.588959","74.3619895","15","1","1","2","3","Sher Shah Rd, Bhogiwal Kot Khawaja Saeed, Lahore, Punjab 54000, Pakistan",,"107","Supermarket","4.2","54000","22","Sher Shah Rd"
"BISMILLAH Traders & wholesale dealers","31.5884683","74.3493096","8","3","0","1","0","H8QX+9PM, Chah Miran Rd, Chah Miran, Lahore, Punjab, Pakistan",,"108","Supermarket","4.6",,"12","H8QX+9PM, Chah Miran Rd"
"Abdullah Super store badami bagh","31.6033224","74.3202903","4","0","0","0","0","J83C+84F, Abu Bakar Rd, Badami Bagh, Lahore, Punjab, Pakistan",,"109","Grocery store","5",,"4","J83C+84F, Abu Bakar Rd"
"Rahman sweets","31.5654827","74.2966717","1","0","0","0","0","8 Umar Rd, Krishan Nagar Islampura, Lahore, Punjab 54000, Pakistan",,"110","Supermarket","5","54000","1","8 Umar Rd"
"Liaqat Jutt General Store","31.5779237","74.3763197","4","4","1","1","0","H9HG+5G8, Jehangir St, Singhpura, Lahore, Punjab 54840, Pakistan",,"111","Grocery store","4","54840","10","H9HG+5G8, Jehangir St"
"Kamboh Kryana Store","31.8061745","74.2637824","10","1","0","4","2","R747+FG7, Mohalla Latif Park Mohalla Muhammadpura, Muridke, Sheikhupura, Punjab, Pakistan",,"61","Grocery store","4.1",,"17","R747+FG7"
"Siddique Sweets and Bakers","31.8026393","74.2537741","90","34","16","33","8","R733+3G2, Main Bazaar, Mohalla Faiz Madina Mohalla Sheikhan, Muridke, Sheikhupura, Punjab, Pakistan",,"62","Bakery","4",,"181","R733+3G2, Main Bazaar"
"Talha General Store","31.8094616","74.2601954","11","3","2","3","2","R756+Q3P, Mohalla Hassan Park Muridke, Sheikhupura, Punjab, Pakistan",,"63","Supermarket","3.9",,"21","R756+Q3P"
"Javed Iqbal and Sons Machinery Store","31.5749553","74.3283161",,,,,,"2 Sulemania Centre, Dil Mohammad Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan",,"112","Industrial supermarket",,"54000","0","2 Sulemania Centre, Dil Mohammad Rd"
"Mehr Jilal Market","31.5789685","74.3028144","1","0","0","0","2","Bilal Ganj, Lahore, Punjab 54000, Pakistan",,"113","Grocery store","3",,"3",
"NESTO CASH & CARRY","31.8095216","74.2535107",,,,,,"Nesto hypermarket Sa gardan Phase 2, Muridke, 39000, Pakistan",,"64","Grocery store",,"39000","0","Nesto hypermarket Sa gardan Phase 2"
"Akram General Store","31.5739036","74.3297229",,,,,,"Government Nawaz Sharif Hospital Pathi Ground, Bilal colony, Dil Mohammad Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan",,"114","Grocery store",,"54000","0","Government Nawaz Sharif Hospital Pathi Ground, Bilal colony, Dil Mohammad Rd"
"almakka store","31.8006565","74.2557629",,,,,,"R724+786, Karkhana Bazar, Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab 54000, Pakistan",,"65","Grocery store",,"54000","0","R724+786, Karkhana Bazar"
"Grocon - Online Grocery Shopping","31.5629793","74.3329945","8","1","1","0","0","1st Floor, Shaheen Complex, 38 Egerton Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan",,"115","Supermarket","4.5","54000","10","1st Floor, Shaheen Complex, 38 Egerton Rd"
"usman store","31.8006565","74.2557629",,,,,,"R724+786, Karkhana Bazar, Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab 54000, Pakistan",,"66","Grocery store",,"54000","0","R724+786, Karkhana Bazar"
"ASGHAR KARYANA MARCHANT,BARKAT PURA , SHALIMAR TOWN","31.586048","74.3870052",,,,,,"H9PP+CR6, Unnamed Road, Shalamar Town, Lahore, Punjab 54000, Pakistan",,"116","Supermarket",,"54000","0","H9PP+CR6, Unnamed Road"
"SASTA BAZAR BRANCH 6","31.8317365","74.2934066","1","0","0","0","0","BHATTI CHWOK, Tahirabad, Sheikhupura, Punjab, Pakistan",,"67","Grocery store","5",,"1","BHATTI CHWOK"
"Fazle Rabi Traders","31.5793426","74.3230832","2","0","0","0","1","H8HF+P6P, Azad Bazar, Mohalla Takia Sadhu Walled City of Lahore, Lahore, Punjab 54000, Pakistan",,"117","Supermarket","4","54000","3","H8HF+P6P, Azad Bazar"
"Rana General StOre","31.8045041","74.2613978","8","2","3","1","0","Town Muridke Muhallah Gulshan e Tahir, Mohalla Muhammadpura, Muridke, Sheikhupura, Punjab, Pakistan",,"68","Grocery store","3.9",,"14","Town Muridke Muhallah Gulshan e Tahir"
"Chohan General Store","31.5821301","74.3843588","2","0","0","2","0","9 Aynaet Baag St, Angoori Bagh Lahore, Punjab 54000, Pakistan",,"118","Supermarket","4","54000","4","9 Aynaet Baag St"
"Madina Cold Corner","31.8195601","74.2520357",,,,,,"R792+RRF, قومی شاہراہ, ۔ ۵, Sadhoke, Sheikhupura, Punjab, Pakistan",,"69","Grocery store",,,"0","R792+RRF, قومی شاہراہ"
"hammad store","31.8006565","74.2557629",,,,,,"R724+786, Karkhana Bazar, Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab 54000, Pakistan",,"70","Grocery store",,"54000","0","R724+786, Karkhana Bazar"
"Al Rehmat Karyana Store","31.6116122","74.2836894","5","2","0","0","1","J76M+JFW, shamsaabad, Street No. 1, Taragarh Shahdara Town, Shahdara, Lahore, Punjab, Pakistan",,"119","Supermarket","4.4",,"8","J76M+JFW, shamsaabad, Street No. 1"
"Saqi Cold Corner","31.7994724","74.252738",,,,,,"Muhallah, Street 06, Canal Park Piran Basti, Muridke, Sheikhupura, Punjab 39018, Pakistan",,"71","Grocery store",,"39018","0","Muhallah, Street 06"
"Bismillah karyana store","31.8066751","74.2477345",,,,,,"R64X+M3H, Kot Pindi Dass Rd, Peer Colony Pir Colony, Muridke, Sheikhupura, Punjab, Pakistan",,"72","Grocery store",,,"0","R64X+M3H, Kot Pindi Dass Rd"
"Al Saudia Shoe Market","31.5805211","74.3180845","55","7","5","7","3","H8J9+664, Shah Alam Walled City of Lahore, Lahore, Punjab 54000, Pakistan",,"120","Supermarket","4.4","54000","77","H8J9+664"
"NM Plaza","31.796691","74.2545735","1","0","0","0","0","بنگلا پُلی روڈ مریدکے, Sarab Muridke, Sheikhupura, Punjab 54000, Pakistan",,"73","Grocery store","5","54000","1","بنگلا پُلی روڈ مریدکے"
"Super A One Bakers","31.8110781","74.2709963","8","0","0","0","0","Purana, Old Narowal Rd, Peoples Colony, Muridke, Sheikhupura, Punjab, Pakistan",,"74","Bakery","5",,"8","Purana, Old Narowal Rd"
"freshway bks","31.8006565","74.2557629",,,,,,"R724+786, Karkhana Bazar, Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab 54000, Pakistan",,"75","Grocery store",,"54000","0","R724+786, Karkhana Bazar"
"saleem sadiq","31.8006565","74.2557629",,,,,,"R724+786, Karkhana Bazar, Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab 54000, Pakistan",,"76","Grocery store",,"54000","0","R724+786, Karkhana Bazar"
"imran luqman store","31.8006565","74.2557629",,,,,,"R724+786, Karkhana Bazar, Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab 54000, Pakistan",,"77","Grocery store",,"54000","0","R724+786, Karkhana Bazar"
"Hassan Super Store","31.8132878","74.2514239","3","1","0","0","0","R772+8H7, Main Bazar, Daoke Muridke, Sheikhupura, Punjab, Pakistan",,"78","Grocery store","4.8",,"4","R772+8H7, Main Bazar"
"Naveed general store","31.7955067","74.2573235","4","0","0","0","0","Q7W4+6W4, Ahmad pura Rd, Mohalla Nizam Park, Muridke, Sheikhupura, Punjab, Pakistan",,"79","Grocery store","5",,"4","Q7W4+6W4, Ahmad pura Rd"
"Pakways Rice Traders","31.7942484","74.256223",,,,,,"Q7V4+MFX, GT Rd, Muridke, Sheikhupura, Punjab, Pakistan",,"80","Grocery store",,,"0","Q7V4+MFX, GT Rd"
"Badi mandi near madni hotel","31.6032571","74.3052502",,,,,,"J834+842, Behind General Truck Stand, Ravi Link Road،, Timber Market Rd, Qila Lachman Singh, Lahore, Punjab, Pakistan",,"121","Supermarket",,,"0","J834+842, Behind General Truck Stand, Ravi Link Road،, Timber Market Rd"
"Adeel Enterprises","31.57791","74.327435",,,,,,"H8HG+3VM, Ram Gali Naulakha, Lahore, Punjab 54000, Pakistan",,"122","Supermarket",,"54000","0","H8HG+3VM"
"Khan General Store NBP ehsaas rashan riayat program","31.574294","74.3530306","1","0","0","0","0","H9F3+R7H, Mughalpura, Lahore, Punjab, Pakistan",,"123","Grocery store","5",,"1","H9F3+R7H"
"O. U TRADERS","31.5743857","74.3122661","0","0","0","1","0","Abkari Rd, Anarkali Bazaar Lahore, Punjab 54000, Pakistan",,"124","Supermarket","3","54000","1","Abkari Rd"
"Ali Builder Tyres","31.579603","74.3329395","3","0","1","0","0","H8HM+R5W, Naulakha, Lahore, Punjab 54000, Pakistan",,"125","Supermarket","4","54000","4","H8HM+R5W"
"Shehzad fish Baghbanpura","31.582957","74.3755678","0","1","0","0","0","H9MG+56P, Haq Nawaz Rd, Baghbanpura, Lahore, Punjab 54000, Pakistan",,"126","Supermarket","4","54000","1","H9MG+56P, Haq Nawaz Rd"
"Aifa file","31.5749301","74.3102508","3","0","1","0","0","ground floor, Bashir center, Urdu Bazar Lahore, Punjab 54000, Pakistan",,"127","Supermarket","4","54000","4","ground floor, Bashir center"
"Popular Wiremesh Co","31.5767888","74.3275808","2","0","0","0","0","Rehman street, no 2 Nishter Rd, Naulakha, Lahore, Punjab 54000, Pakistan",,"128","Industrial supermarket","5","54000","2","Rehman street, no 2 Nishter Rd"
"Rana Haider Traders","31.8043272","74.2580664",,,,,,"Shop no 3, Mohalla Sheikhan, Muridke, Sheikhupura, Punjab 39000, Pakistan",,"81","Supermarket",,"39000","0","Shop no 3"
"Jamil Industrial Trader","31.5640656","74.3184448","2","0","0","0","0","Office no. 48 Qazi Centre ground floor, 16-A Hall Rd, Garhi Shahu, Lahore, Punjab 51000, Pakistan",,"129","Industrial supermarket","5","51000","2","Office no. 48 Qazi Centre ground floor, 16-A Hall Rd"
"Shahzad Trading Co.","31.8060126","74.249362","2","0","0","0","0","Canal Rd, Mohalla Gaddafi Park Muridke, Sheikhupura, Punjab, Pakistan",,"82","Grocery store","5",,"2","Canal Rd"
"Ali Pan Shop","31.5835737","74.3274942","1","0","0","0","1","H8MG+CXH, Yakki Gate Bazar, Kucha Meher Ghous Kucha Deputy Alam Shah Walled City of Lahore, Lahore, Punjab, Pakistan",,"130","Supermarket","3.5",,"2","H8MG+CXH, Yakki Gate Bazar"
"Chinniot Chawal Store","31.8015532","74.253796","0","1","0","0","0","Purani gala mandi muridke, Canal Park Mohalla Faiz e Madina, Muridke, Sheikhupura, Punjab 39000, Pakistan",,"83","Grocery store","4","39000","1","Purani gala mandi muridke"
"Raza Brothers","31.5792306","74.3185036","3","0","0","0","0","H8H9+MCR, Shah Alam Mohalla Bela Nawab Sahib Walled City of Lahore, Lahore, Punjab 54000, Pakistan",,"131","Supermarket","5","54000","3","H8H9+MCR"
"Usman Enterprises","31.5757564","74.3272829","2","0","0","0","0","4242-Main Nishter Rd, Gawalmandi, Lahore, Punjab 54000, Pakistan",,"132","Industrial supermarket","5","54000","2","4242-Main Nishter Rd"
"IMAM GENERAL STORE","31.7977996","74.2493755",,,,,,"Gulshan Zafar Colony Gulshan e Zafar Colony, Muridke, Sheikhupura, Punjab, Pakistan",,"84","Grocery store",,,"0",
"AST Fashion","31.5793764","74.3313717","1","0","0","0","0","374 Landa Bazaar, Naulakha, Lahore, Punjab 54000, Pakistan",,"133","Supermarket","5","54000","1","374 Landa Bazaar"
"Hafiz General store","31.815063","74.2782434",,,,,,"R78H+27H Moharam Abad, Kot Yaqoob tiba, Muridke, Sheikhupura, Punjab, Pakistan",,"85","Grocery store",,,"0","R78H+27H Moharam Abad"
"Afridi Brothers & Cold Drinks","31.5631107","74.3210619","1","0","1","1","0","1 Beadon Rd, Victoria Park, Lahore, Punjab 54000, Pakistan",,"134","Supermarket","3","54000","3","1 Beadon Rd"
"shahid naqeebi","31.8095216","74.2535107",,,,,,"R753+RC2, Karkhana Bazar, Rehmanpura, Muridke, Sheikhupura, Punjab 54000, Pakistan",,"86","Grocery store",,"54000","0","R753+RC2, Karkhana Bazar"
"Rabbani Mart","31.5923483","74.3644278","6","0","0","0","0","Rabbani Mart 1258, Gujjar Pura Block D/1 China Scheme, Lahore, Punjab 54000, Pakistan",,"135","Cash and carry wholesaler","5","54000","6","Rabbani Mart 1258"
"Qasim Karyana Store","31.8148383","74.2497605",,,,,,"R67X+WWJ, Muazzam Colony Bazar, Mohalla New Daoke Daoke, Muridke, Sheikhupura, Punjab, Pakistan",,"87","Grocery store",,,"0","R67X+WWJ, Muazzam Colony Bazar"
"Autofit","31.5885925","74.3195092","1","0","0","0","0","Auto Market, 5-Al Shamas, Data Nagar Badami Bagh, Lahore, Punjab 54600, Pakistan",,"136","Supermarket","5","54600","1","Auto Market, 5-Al Shamas"
"Zaeem rubber stores","31.5762416","74.3235046","1","0","0","0","0","87/A Circular Rd, near adda crown, Gawalmandi, Lahore, Punjab 56000, Pakistan",,"137","Industrial supermarket","5","56000","1","87/A Circular Rd, near adda crown"
"M Kamboh General Store","31.8061086","74.2621819","3","0","0","1","0","Narang Road, Mohalla Muhammadpura, Muridke, Sheikhupura, Punjab, Pakistan",,"88","Grocery store","4.5",,"4","Narang Road"
"Riaz Manzoor Traders","31.8086234","74.2464472","6","0","1","1","2","R65W+CHW, Peer Colony Muridke, Sheikhupura, Punjab, Pakistan",,"89","Grocery store","3.8",,"10","R65W+CHW"
"Mian super general store","31.8095216","74.2535107","2","0","0","0","0","Kanal park, sir gas road, street # 9 Rehmanpura, Muridke, Sheikhupura, Punjab, Pakistan",,"90","Grocery store","5",,"2","Kanal park, sir gas road"
"Masala Master","31.5788125","74.3245625","3","0","0","0","0","H195, H8HF+GRF, 196 Pakistan, Akbari Mandi Wool Market, Lahore, Punjab 54000, Pakistan",,"138","Supermarket","5","54000","3","H195, H8HF+GRF, 196 Pakistan"
"Seiko house","31.5905463","74.3186385","1","0","0","0","0","44-45-G wazeer ali auto center, Data Nagar Badami Bagh, Lahore, Punjab, Pakistan",,"139","Supermarket","5",,"1","44-45-G wazeer ali auto center"
"Ali saqib machinery store","31.5783874","74.3280887","1","0","0","0","0","294 Al-Hadeed Bazar, Naulakha, Lahore, Punjab 54000, Pakistan",,"140","Supermarket","5","54000","1","294 Al-Hadeed Bazar"
"Shop Stop","31.8260646","74.2809661","3","1","1","0","1","Sheikhupura, Punjab, Pakistan",,"91","Grocery store","3.7",,"6",
"Mian beverages","31.8101329","74.2505277","0","0","1","0","0","R762+362, Daoke Muridke, Sheikhupura, Punjab, Pakistan",,"92","Grocery store","1",,"1","R762+362"
"Ajaz karyana & pamper store","31.8025882","74.2550809","2","0","0","0","0","R734+22P, Haider Hospital Bazar, Mohalla Sheikhan Muridke, Sheikhupura, Punjab, Pakistan",,"93","Grocery store","5",,"2","R734+22P, Haider Hospital Bazar"
"Nawab Sansi Rice Mills","31.7990995","74.2529648",,,,,,"Q7X3+J5P khali bypass, GT Rd, Canal Park Piran Basti, Gujranwala, Sheikhupura, Punjab, Pakistan",,"94","Grocery store",,,"0","Q7X3+J5P khali bypass, GT Rd"
"haq bahu sweets","31.8006565","74.2557629",,,,,,"R724+786, Karkhana Bazar, Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab 54000, Pakistan",,"95","Grocery store",,"54000","0","R724+786, Karkhana Bazar"
"خالد کریانہ سٹور مریدکے","31.7993051","74.2517382","3","0","0","1","0","Q7X2+PMH, Canal Park Piran Basti, Muridke, Sheikhupura, Punjab, Pakistan",,"96","Grocery store","4.5",,"4","Q7X2+PMH"
"چاچا مصطفیٰ جیولری سینٹر","31.8013746","74.2554772","1","0","0","0","0","چوک مدینہ مارکیٹ, Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab 39000, Pakistan",,"97","Supermarket","5","39000","1","چوک مدینہ مارکیٹ"
"Super Foods Pvt Ltd","31.8495371","74.2484797","45","13","6","11","3","Muridke, Sheikhupura, Punjab 39000, Pakistan",,"98","Rice mill","4.1","39000","78",
"Junad kamboh garnral store muridke","31.8133399","74.2406756",,,,,,"Mubarakabad, Muridke, Sheikhupura, Punjab 39000, Pakistan",,"99","Grocery store",,"39000","0",
"Waris karyana store","31.7998093","74.2622565","0","0","1","0","0","Q7X6+WWC, Faisal Park Mohalla Sharif Park, Muridke, Sheikhupura, Punjab, Pakistan",,"100","Grocery store","1",,"1","Q7X6+WWC"
"Arslan Traders","31.5818638","74.3252484","7","2","0","2","1","H-1419 Main Bazar ,Akbari Market Lahore, Akbari Mandi Walled City of Lahore, Lahore, Punjab 54000, Pakistan",,"141","Supermarket","4.3","54000","12","H-1419 Main Bazar ,Akbari Market Lahore"
"MIAN AZEEM ATTA CHAKI","31.5971565","74.3568298","1","0","0","0","0","Main China Rd, Bhagatpura, Lahore, Punjab 54000, Pakistan",,"142","Grocery store","5","54000","1","Main China Rd"
"Madina Lace Center","31.5725719","74.3335763","0","0","1","1","0","H8FM+2CG, Garhi Shahu, Lahore, Punjab 54000, Pakistan",,"143","Supermarket","2","54000","2","H8FM+2CG"
"Adnan Mill store","31.5753825","74.3270507",,,,,,"42-Khan Market Nishter Rd, Gawalmandi, Lahore, Punjab 54000, Pakistan",,"144","Industrial supermarket",,"54000","0","42-Khan Market Nishter Rd"
"Ms store","31.8006565","74.2557629",,,,,,"R724+786, Karkhana Bazar, Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab 54000, Pakistan",,"101","Grocery store",,"54000","0","R724+786, Karkhana Bazar"
"New Maqsood Auto","31.5895096","74.3188861","1","1","0","1","0","shop #9 rana market, Data Nagar Badami Bagh, Lahore, Punjab, Pakistan",,"145","Supermarket","4",,"3","shop #9 rana market"
"S,,,,,H,,,,,shoes...","31.5872175","74.3183799","0","0","0","1","0","H8P9+V9J, Chuna Mandi Bazar, Katri Bawa Walled City of Lahore, Lahore, Punjab, Pakistan",,"146","Supermarket","3",,"1","H8P9+V9J, Chuna Mandi Bazar"
"Pakeeza Honey Centre","31.8062964","74.2506665","2","1","0","0","0","R742+P2H, Mohalla Gaddafi Park Muridke, Sheikhupura, Punjab, Pakistan",,"102","Grocery store","4.7",,"3","R742+P2H"
"Nabeel Sethi Rice Trader","31.8015657","74.2532314","0","0","1","0","0","R723+J7H, Canal Park Mohalla Faiz e Madina, Muridke, Sheikhupura, Punjab, Pakistan",,"103","Supermarket","1",,"1","R723+J7H"
"Shahid furniture House","31.5867083","74.3504321","1","0","0","1","0","Bilal Park Rd, Ghoray Shah Lahore, Punjab 54000, Pakistan",,"147","Supermarket","4","54000","2","Bilal Park Rd"
"Amman Kiryana Store","31.801931","74.261163",,,,,,"R726+MPR, Main Bazaar, Mohalla Kacha Ghousia Mohalla Sharif Park, Muridke, Sheikhupura, Punjab, Pakistan",,"104","Grocery store",,,"0","R726+MPR, Main Bazaar"
"MA Laptop battery","31.5636552","74.3192917",,,,,,"Shop no 15s, Rafi Plaza, Hall Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan",,"148","Supermarket",,"54000","0","Shop no 15s, Rafi Plaza, Hall Rd"
"F K S. . .","31.8111351","74.2568093",,,,,,"Rehman, Foji Street, Rehman Pura pura, Muridke, Sheikhupura, Punjab 39000, Pakistan",,"105","Grocery store",,"39000","0","Rehman, Foji Street"
"AHSAN TRADERS","31.5772266","74.3253757",,,,,,"Muslim street.6 Reman Gali brenth Road, Circular Rd, Lahore, 54000, Pakistan",,"149","Supermarket",,"54000","0","Muslim street.6 Reman Gali brenth Road, Circular Rd"
"Fauji Karyana Store","31.8063062","74.2587606",,,,,,"R745+GJF, Mohalla Sultan Park Mohalla Sultanpura, Muridke, Sheikhupura, Punjab, Pakistan",,"106","Grocery store",,,"0","R745+GJF"
"Freshway Sweets And Bakers, Muridke","31.8016653","74.2530449","8","0","0","1","0","Street #1 Piran Mandi, opposite Masjid Saeedia, Mohalla Faiz e Madina, Muridke, Sheikhupura, Punjab, Pakistan",,"107","Bakery","4.8",,"9","Street #1 Piran Mandi, opposite Masjid Saeedia"
"Joogi Nimko","31.579589","74.324612",,,,,,"H8HF+RRQ, Unnamed Road, Akbari Mandi Walled City of Lahore, Lahore, Punjab 54000, Pakistan",,"150","Supermarket",,"54000","0","H8HF+RRQ, Unnamed Road"
"Fine Shoe Comapny","31.5852649","74.3177471","6","0","2","0","0","H8J9+357, 1776 Moti Bazar, Katri Sikandar Khan Walled City of Lahore, Lahore, Punjab 54000, Pakistan",,"151","Supermarket","4","54000","8","H8J9+357, 1776 Moti Bazar"
"Zaheer Jabbar crockery store","31.8022382","74.2558381",,,,,,"R724+V8W, Karkhana Bazar, Mohalla Sheikhan Muridke, Sheikhupura, Punjab, Pakistan",,"108","Grocery store",,,"0","R724+V8W, Karkhana Bazar"
"Data Purse Material","31.580799","74.3175752","5","0","0","0","0","H8J9+828, Walled City of Lahore, Lahore, Punjab 54000, Pakistan",,"152","Supermarket","5","54000","5","H8J9+828"
"Sheikh Tahir","31.8375667","74.268701","1","1","0","0","0","R7Q9+2FG, Nangal Sahdan, Sheikhupura, Punjab, Pakistan",,"109","Shop supermarket furniture store","4.5",,"2","R7Q9+2FG"
"SK Industrial Supplies","31.5766119","74.3250987",,,,,,"Nishter Rd, Ram Gali Naulakha, Lahore, Punjab 54000, Pakistan",,"153","Industrial supermarket",,"54000","0","Nishter Rd"
"Muhammad Sharif Atta Chaki","31.8089236","74.264961",,,,,,"Masjid, near Muhammadi, Mohalla Hassan Park Town, Muridke, Sheikhupura, Punjab 39000, Pakistan",,"110","Flour mill",,"39000","0","Masjid, near Muhammadi"
"MISRI SHAH IRON MARKET","31.590097","74.3341219",,,,,,"125 Street 65, B Ashraf Park Aziz Park Misri Shah, Lahore, Punjab 54000, Pakistan",,"154","Industrial supermarket",,"54000","0","125 Street 65"
"Rajput Family restaurant Branch 2","31.8173486","74.2525277","5","1","0","0","0","near Super Market, Muridke, Sheikhupura, Punjab 39000, Pakistan",,"111","Fast food restaurant","4.8","39000","6","near Super Market"
"Dawn Auto Supply Company","31.5936634","74.3232398","1","1","0","0","0","Data Nagar Badami Bagh, Lahore, Punjab, Pakistan",,"155","Supermarket","4.5",,"2",
"Faizan Lahori Fabrics","31.5827209","74.370674",,,,,,"137 Haq Nawaz Rd, Baghbanpura, Lahore, Punjab 54000, Pakistan",,"156","Supermarket",,"54000","0","137 Haq Nawaz Rd"
"SEAGULL INTERNATIONAL(Distributor of ETKT AND ETK BEARING COMPANY in PAKISTAN","31.5757195","74.3274525","2","0","0","0","0","REHMAN GALI NO 4, Nishter Rd, Lahore, 54000, Pakistan",,"157","Agricultural service","5","54000","2","REHMAN GALI NO 4, Nishter Rd"
"Sheikh Akram Shop","31.8388445","74.2694762",,,,,,"R7Q9+GQQ SHEIKH AKRAM SHOP, Nangal Sahdan, Sheikhupura, Punjab, Pakistan",,"112","Shop supermarket furniture store",,,"0","R7Q9+GQQ SHEIKH AKRAM SHOP"
"Modern Industries","31.6101652","74.3698021",,,,,,"karol ghatti khyber kante wale, gali, Lahore, Punjab 54000, Pakistan",,"158","Industrial supermarket",,"54000","0","karol ghatti khyber kante wale, gali"
"NBP Ehsas Rashan Riayat - Nasir Kiryana Store","31.8049176","74.2534308",,,,,,"R733+X95, Shadi Hall Wala Bazar Rd, Mohalla Gaddafi Park Muridke, Sheikhupura, Punjab, Pakistan",,"113","General store",,,"0","R733+X95, Shadi Hall Wala Bazar Rd"
"Bismillah Machinery Store, Heavy Dril Machine / Welding Plants","31.5752104","74.3283295",,,,,,"H8GH+398, 4 Dil Mohammad Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan",,"159","Supermarket",,"54000","0","H8GH+398, 4 Dil Mohammad Rd"
"Fair price shop","31.8017591","74.2533006",,,,,,"Peeran mandi Bazar, opposite to Mashiday Syedia, Canal Park Mohalla Faiz e Madina, Muridke, Sheikhupura, Punjab 39000, Pakistan",,"114","Rice wholesaler",,"39000","0","Peeran mandi Bazar, opposite to Mashiday Syedia"
"Allied Business Corporation","31.5760961","74.3271521",,,,,,"03, Rehman Street, Brandth road, Lahore, 54810, Pakistan",,"160","Industrial supermarket",,"54810","0","03, Rehman Street, Brandth road"
"Rajpoot market","31.4333743","74.3642705",,,,,,"C9M7+8PR, Lahore – Kasur Rd, Awan Market, Lahore, Punjab, Pakistan",,"1","Supermarket","4.8",,"20","C9M7+8PR, Lahore – Kasur Rd"
"فوجی نواز","30.8805927","74.0610664",,,,,,"Mula Pur Rd, Allah Abad, Kasur, Punjab 55230, Pakistan",,"5","Grocery store",,"55230","0","Mula Pur Rd"
"Al Rehman Super Mart","31.4401343","74.3019899",,,,,,"Plot 52, Township Block 3 Twp Sector C 1 Lahore, Punjab, Pakistan",,"2","Grocery store","5",,"11","Plot 52"
"Riaz Ashiq Karyana Store","30.8702518","74.0415791",,,,,,"Main Depalpur road opposite Ibn-E-Taimia Educational Complex Allahabad, Pakistan",,"7","Grocery store",,,"0","Main Depalpur road opposite Ibn-E-Taimia Educational Complex Allahabad"
"Salam Mart","31.2034629","73.9634683",,,,,,"6X37+97V, Multan Rd, Phool Nagar, Kasur, Punjab, Pakistan",,"2","Grocery store","3",,"1","6X37+97V, Multan Rd"
"Pathan Gen Store","31.4398524","74.3075727",,,,,,"alNaimat general store block-3, Township Block 3 Sector D1 Lahore, Punjab, Pakistan",,"3","Supermarket","4.6",,"12","alNaimat general store block-3"
