"reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","categoryName","location/lat","location/lng","totalScore","street","price","address","postalCode","title","reviewsCount"
,,,,,"Primary school","30.8322594","74.2297671",,"R6JH+WW2",,"R6JH+WW2, Tibbi Mehtab Singh, Kasur, Punjab, Pakistan",,"Govt Girls Primary School","0"
,,,,,"Primary school","30.7934805","74.1644081","5","Q5V7+9QV",,"Q5V7+9QV, Basti Qatb Shah, Kasur, Punjab, Pakistan",,"Govt Girls Primary School","1"
,,,,,"School","30.824285","74.2121317",,"R6F6+PV6",,"R6F6+PV6, Kul, Kasur, Punjab, Pakistan",,"Al Hamd School","0"
,,,,,"Elementary school","30.8586857","74.2545735","5","V753+FRG, Unnamed Road",,"V753+FRG, Unnamed Road, Kasur, Punjab, Pakistan",,"Govt Primary School QilliSokal","1"
,,,,,"Primary school","30.8018636","74.2278337",,"R62H+P4W",,"R62H+P4W, Hastiwala, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","0"
,,,,,"Primary school","30.8254507","74.1749951",,"R5GF+5XQ",,"R5GF+5XQ, Kot Haji Mohammad Din, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","0"
,,,,,"Primary school","30.8292363","74.2306576",,"R6HJ+M7V",,"R6HJ+M7V, Tibbi Mehtab Singh, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","0"
,,,,,"School","30.9225924","74.1119828",,"W4F6+2QQ",,"W4F6+2QQ, Attari Karam Singh, Kasur, Punjab, Pakistan",,"Government boy High school","0"
,,,,,"School","30.9724228","74.1137347",,"X4C7+XF9",,"X4C7+XF9, Bhimke, Kasur, Punjab, Pakistan",,"مدرستہ المدینہ فاربوائز دعوت اسلامی","0"
,,,,,"School","30.9543125","74.1669375",,"X538+PQ",,"X538+PQ, Saidpur, Kasur, Punjab, Pakistan",,"Government Girls High school Said pur","0"
,,,,,"School","30.9746944","74.1552756",,"X5F4+V4C",,"X5F4+V4C, Sikander Pura, Kasur, Punjab, Pakistan",,"The Iqbal Education & Islamic School Skander pura","0"
,,,,,"School","30.974682","74.0872892",,"X3FP+VWF",,"X3FP+VWF, Tibba Mondeke, Kasur, Punjab, Pakistan",,"Jamia majid","0"
,,,,,"School","30.9285467","74.1740825",,"W5HF+CJ8, Depalpur Rd",,"W5HF+CJ8, Depalpur Rd, Biya Singhwala, Kasur, Punjab, Pakistan",,"لاہور گرامر ایجوکیشنل کمپلیکس الہ آباد","0"
"1","0","0","1","0","Government office","30.9246955","74.0705385","4","Govt. Primary School, Village, Mula Pur Rd",,"Govt. Primary School, Village, Mula Pur Rd, near Tehsl, Kasur, 55220, Pakistan","55220","Family Welfare Center (FWC) Moala Pur","2"
"3","0","0","1","0","School","30.8148222","74.166537","4.5","R578+WJF",,"R578+WJF, Kotha, Kasur, Punjab, Pakistan",,"Al-Rehman Science Academy Kotha Kalan","4"
"2","0","0","0","0","School","30.8267978","74.2138314","5","R6G7+PG8",,"R6G7+PG8, Kul, Kasur, Punjab, Pakistan",,"Al Hafiz Educational Complex Kul","2"
"1","0","0","0","0","School","30.8250088","74.2139304","5","R6G7+2H3",,"R6G7+2H3, Kul, Kasur, Punjab, Pakistan",,"Meo House kul","1"
"1","0","0","0","0","Primary school","30.8353579","74.2542222","5","R7P3+4MX",,"R7P3+4MX, Janga Singh Wala, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","1"
,,,,,"Primary school","30.823085","74.1489557",,"R4FX+6HP",,"R4FX+6HP, Bhudhaike, Kasur, Punjab, Pakistan",,"Government school","0"
,,,,,"School","30.8386296","74.2519642",,"R7Q2+FQ4 Rangay Wala, Road",,"R7Q2+FQ4 Rangay Wala, Road, Janga Singh Wala, Kasur, Punjab, Pakistan",,"govt.primery school sanda khan wah","0"
,,,,,"School","30.8241229","74.1482176",,"R4FX+H9H",,"R4FX+H9H, Bhudhaike, Kasur, Punjab, Pakistan",,"New Islamia School","0"
"0","1","0","0","0","School","31.7557266","73.3413991","4","Q84R+7HR",,"Q84R+7HR, Sangla Hill, Nankana Sahib, Punjab, Pakistan",,"گورنمنٹ ایلیمنٹری سکول","1"
"0","0","1","1","0","School","31.7400775","73.3701955","2","P9RC+23P, Chahoor Mughlian Rd",,"P9RC+23P, Chahoor Mughlian Rd, Chuhar, Nankana Sahib, Punjab, Pakistan",,"Govt primary School CK 117","2"
"1","1","0","1","0","School","31.7358512","73.3045656","4",,,"Bhulair, Siranwali, Nankana Sahib, Punjab, Pakistan",,"MASJID Wala Bazar Chak 123.R.B","3"
,,,,,"School","31.790028","73.3682867",,"Ghulle Bajwe Rasool Pur",,"Ghulle Bajwe Rasool Pur, Ghulle Bajway, Nankana Sahib, Punjab, Pakistan",,"مسجد نور ( رسول پور)","0"
"0","0","1","0","0","Primary school","30.8220826","74.178993","1","R5CH+RHQ",,"R5CH+RHQ, Kot Haji Mohammad Din, Kasur, Punjab, Pakistan",,"Govt Girls Primary School","1"
"0","0","1","0","0","Primary school","30.8351385","74.2527309","1","R7P3+335",,"R7P3+335, Janga Singh Wala, Kasur, Punjab, Pakistan",,"Govt Girls Primary School","1"
,,,,,"School","30.8331237","74.1401036",,"R4MR+62X",,"R4MR+62X, Bhopewala, Kasur, Punjab, Pakistan",,"Govt.girls school","0"
,,,,,"Primary school","30.8527426","74.2476844",,"V63X+33V",,"V63X+33V, Dhirajke, Kasur, Punjab, Pakistan",,"Govt Girls Primary School","0"
,,,,,"School","30.8168811","74.1665669",,"R588+QJ4",,"R588+QJ4, Kotha, Kasur, Punjab, Pakistan",,"M Rizwan","0"
,,,,,"Primary school","30.8307333","74.1390355",,"R4JQ+7JV",,"R4JQ+7JV, Bhopewala, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","0"
,,,,,"Girls' high school","30.8270735","74.1777704",,"R5GH+R4C",,"R5GH+R4C, Kot Haji Mohammad Din, Kasur, Punjab, Pakistan",,"Govt Girls High School","0"
,,,,,"Primary school","30.8559217","74.2463638",,"V64W+9G9",,"V64W+9G9, Dhirajke, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","0"
"1","0","1","0","0","School house","30.8231611","74.2147983","3","opposite Ramzan Nan Shop",,"opposite Ramzan Nan Shop, Kasur, Punjab, Pakistan",,"ارشاد بھٹی ہاؤس شکیل احمد تحسین","2"
,,,,,"School","30.8239896","74.208596",,"R6F5+HCX",,"R6F5+HCX, Kul, Kasur, Punjab, Pakistan",,"Government High School English Medium Girls","0"
,,,,,"School","30.7331097","74.1616832",,"P5M6+6MV",,"P5M6+6MV, Chhabbar Hithar, Kasur, Punjab, Pakistan",,"Ahmad Public School","0"
,,,,,"High school","30.7505327","74.154865","5","V3M3+MJ",,"V3M3+MJ, Allahabad, Kasur, Punjab, Pakistan",,"Gulshan Iqbal Cedit High School","2"
,,,,,"Primary school","30.7510712","74.1572867","2.5","Q524+CWF",,"Q524+CWF, Manurian, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","2"
,,,,,"Middle school","30.7620273","74.1025036","5","Q463+R26",,"Q463+R26, Kot Muhammad Hasan, Kasur, Punjab, Pakistan",,"Govt Elementary School (Boys)","1"
,,,,,"Primary school","30.7495538","74.172526",,"P5XF+R2C",,"P5XF+R2C, Harchuke Hithar, Kasur, Punjab, Pakistan",,"Govt Girls Primary School","0"
,,,,,"Middle school","30.7830518","74.1293622",,"Q4MH+6PH",,"Q4MH+6PH, Manak Deki, Kasur, Punjab, Pakistan",,"Govt Elementary School (Boys)","0"
,,,,,"Primary school","30.7596889","74.1457304","5","Q45W+V7H, Unnamed Road",,"Q45W+V7H, Unnamed Road, Kanganpur, Kasur, Punjab, Pakistan",,"Govt PS Qazi wala","1"
,,,,,"Primary school","30.7513544","74.1566376",,"Q524+GMR",,"Q524+GMR, Manurian, Kasur, Punjab, Pakistan",,"Govt Girls Primary School","0"
,,,,,"Primary school","30.7486452","74.1774736",,"P5XG+FX5",,"P5XG+FX5, Harchuke Hithar, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys), Harchuke Hithar","0"
,,,,,"Primary school","30.7532109","74.2020535","3.7","Q632+7RM",,"Q632+7RM, Lohli Jattan, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","3"
,,,,,"School","30.7665747","74.1248558","5","Q48F+JWH",,"Q48F+JWH, Kanganpur, Kasur, Punjab, Pakistan",,"Syed Foundation public school kanganpur","1"
,,,,,"Middle school","30.7684533","74.1822839",,"Q59J+9WM",,"Q59J+9WM, Qaim Shah Wala, Kasur, Punjab, Pakistan",,"Govt Elementary School (Boys)","0"
,,,,,"School","31.134729","73.4700686",,"4FMC+V2W",,"4FMC+V2W, Sheikh Bilawal, Nankana Sahib, Punjab, Pakistan",,"Government Primary School Sheikh Bilawal","0"
,,,,,"School","31.1388985","73.462369","5","4FQ6+5GC",,"4FQ6+5GC, Kot Abdul Wahid, Nankana Sahib, Punjab, Pakistan",,"Govt Primary school Wan khichian","1"
,,,,,"School","31.1312902","73.456116","3","4FJ4+GC",,"4FJ4+GC, Kot Abdul Wahid, Nankana Sahib, Punjab, Pakistan",,"Govt Primary school Shah Bilawal","1"
,,,,,"School center","31.1443256","73.4949276",,"4FVV+PXR",,"4FVV+PXR, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Efa School System Syedwala","0"
,,,,,"School","31.13808","73.4982672","5","4FQX+68J, Fawara Chowk",,"4FQX+68J, Fawara Chowk, Syed Wala, Nankana Sahib, Punjab, Pakistan",,"Dar e arqam schools Syed Wala","1"
,,,,,"School","31.133185","73.4796154",,"4FMH+7RH",,"4FMH+7RH, Muddo Remaneki, Nankana Sahib, Punjab, Pakistan",,"Government Boys Primary School, Muddo Rehmaneki","0"
,,,,,"Primary school","31.151115","73.4880165",,"5F2Q+C6R",,"5F2Q+C6R, Thatha Kaltera, Nankana Sahib, Punjab, Pakistan",,"Govt. Girls Primary School Thatha Kaltera","0"
,,,,,"High school","31.1473424","73.4946056","1","Main Jaranwala - Sayedwala Rd, near Telephone exchange",,"Main Jaranwala - Sayedwala Rd, near Telephone exchange, Syed Wala, Nankana Sahib, Punjab, Pakistan",,"Tamir-e-Millat Grammar High School Syed walaتعمیر ملت گرامر ہائی سکول سیدوالا","1"
,,,,,"High school","31.1424344","73.4968444","4.5","4FRW+XPH",,"4FRW+XPH, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Kshaf Public Grammar School Syedwala","2"
,,,,,"High school","31.1396214","73.4971475",,"4FQW+RVR, Jaranwala - Sayedwala Rd",,"4FQW+RVR, Jaranwala - Sayedwala Rd, Syed Wala, Nankana Sahib, Punjab, Pakistan",,"Farhan school","0"
,,,,,"School","31.1262767","73.5028829","5","Government Boys High School, Syedwala",,"Government Boys High School, Syedwala, Syed Wala Purana, Nankana Sahib, Punjab, Pakistan",,"Govt High School Syedwala","7"
,,,,,"High school","31.7194366","73.5764014","3.9","PH9G+QHC, Khanqah Dogran Rd, Safdarabad",,"PH9G+QHC, Khanqah Dogran Rd, Safdarabad, Nankana, Nankana Sahib, 39540, Pakistan","39540","National Model School Sheikhupura","21"
,,,,,"School","31.7296568","73.5739275","5","PHHF+VH7",,"PHHF+VH7, Safdarabad, Sheikhupura, Punjab, Pakistan",,"Government AV elementary School Safadrabad","1"
,,,,,"Middle school","31.7006008","73.5781618","5","PH2H+67V",,"PH2H+67V, Nawan Pind, Nankana Sahib, Punjab, Pakistan",,"Ideal Public School","1"
,,,,,"School","31.7281454","73.575493","5","PHHG+755",,"PHHG+755, Safdarabad, Nankana Sahib, Punjab, Pakistan",,"EDEN Public School","1"
,,,,,"Primary school","31.7248248","73.6132668","5","PJF7+W8C rb tehsil, government primary school (boys) mahnianwala, chak 14",,"PJF7+W8C rb tehsil, government primary school (boys) mahnianwala, chak 14, Safdarabad, Sheikhupura, Punjab, Pakistan",,"government primary school (boys) mahnianwala","1"
,,,,,"School","31.7308106","73.5785487","5","PHJH+8CF, Railway Rd",,"PHJH+8CF, Railway Rd, Safdarabad, Nankana Sahib, Punjab, Pakistan",,"Govt. Primary School Qayyum Safdarabad","1"
,,,,,"Primary school","31.6981601","73.5846601","5","MHXM+7V7",,"MHXM+7V7, Gondranwala, Nankana Sahib, Punjab, Pakistan",,"Govt. Girls Primary School","1"
"1","1","0","0","0","School","31.1431784","73.5071938","4.5","4GV4+7VG",,"4GV4+7VG, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Govt Boys High School","2"
"1","0","0","0","0","Elementary school","31.1409803","73.50214","5","4GR2+9VR",,"4GR2+9VR, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Al-Rehmania Public Grammar School","1"
"1","0","0","0","0","School","31.1417363","73.4990383","5","4FRX+MJV",,"4FRX+MJV, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Jinnah Public School Syedwala","1"
,,,,,"School","31.7149576","73.6230461","5","PJ7F+X6M",,"PJ7F+X6M, Deourhi, Nankana Sahib, Punjab, Pakistan",,"Islamia midal school","1"
"1","0","0","0","0","School","31.1425865","73.5012914","5","4GV2+2GM, Unnamed Road",,"4GV2+2GM, Unnamed Road, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Zainab Public Grammar School","1"
"1","1","0","0","0","High school","31.1365558","73.4985566","4.5","4FPX+JCF, Sayedwala - Bara Ghar- Bucheki Rd",,"4FPX+JCF, Sayedwala - Bara Ghar- Bucheki Rd, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"City Public grammer School","2"
,,,,,"School","31.7255734","73.5770801","5","PHGG+6RG",,"PHGG+6RG, Safdarabad, Sheikhupura, Punjab, Pakistan",,"Zargham Public High School Safdarabad","4"
"1","0","0","0","0","High school","31.1450234","73.5023652","5","4GW2+2W6",,"4GW2+2W6, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Little angel grammar high school Syedwala گرلز کیمپس","1"
,,,,,"School","31.13808","73.4982672",,"4FQX+68J, Jaranwala - Sayedwala Rd, opposite telephone exchange",,"4FQX+68J, Jaranwala - Sayedwala Rd, opposite telephone exchange, Syed Wala, Nankana Sahib, Punjab, Pakistan",,"Tamir-e-Millat School System","0"
,,,,,"Primary school","31.6995482","73.5836946","5","MHXM+RF8",,"MHXM+RF8, Gondranwala, Nankana Sahib, Punjab, Pakistan",,"Govt. Boys Primary School Gondlanwala","1"
,,,,,"High school","31.7274961","73.5769673","5","PHGG+XQW, Dhaban Lalanwala Road",,"PHGG+XQW, Dhaban Lalanwala Road, Safdarabad, Nankana Sahib, Punjab, Pakistan",,"Misali public school Safdarabad","1"
,,,,,"School","31.1257346","73.500641",,"4GG2+77R, Syed Wala Bridge",,"4GG2+77R, Syed Wala Bridge, Syed Wala Purana, Nankana Sahib, Punjab, Pakistan",,"Govt Primary school Syedwala","0"
,,,,,"School","31.1445047","73.4997833",,"Mohallah union council",,"Mohallah union council, Sayedwala, Nankana Sahib, Punjab 39150, Pakistan","39150","Oxford city grammar school","0"
,,,,,"School","31.7281555","73.5789401","4","PHHH+7H8",,"PHHH+7H8, Safdarabad, Nankana Sahib, Punjab, Pakistan",,"ASK Grammar School and Academy","2"
,,,,,"Boarding school","31.7235781","73.5769536","5","PHFG+CQP, Khanqah Dogran Rd",,"PHFG+CQP, Khanqah Dogran Rd, Safdarabad, Nankana Sahib, Punjab, Pakistan",,"Misali Public School Safdarabad","1"
,,,,,"High school","31.6754097","73.558452","5","MHG5+598",,"MHG5+598, Lahore, Lahore District, Punjab, Pakistan",,"Government girls high school","1"
,,,,,"School","31.695901","73.6208268","5","MJWC+988، Safdarabad-Farooqabad Road",,"MJWC+988، Safdarabad-Farooqabad Road, Nankana Sahib, Punjab, Pakistan",,"Government Primary School","1"
,,,,,"School","31.6768943","73.5531624","3","MHG3+Q73, Shahkot-Safdarabad Rd",,"MHG3+Q73, Shahkot-Safdarabad Rd, Nawan Kot Chak 79 RB, Nankana Sahib, Punjab, Pakistan",,"Government elementary school","1"
,,,,,"High school","31.7350104","73.5587843","5","PHP5+2G3",,"PHP5+2G3, Safdarabad, Nankana Sahib, Punjab, Pakistan",,"Siddique Memorial Public High School","1"
,,,,,"Primary school","31.6983199","73.5538909",,"MHX3+8HC",,"MHX3+8HC, Thothian Kalan, Nankana Sahib, Punjab, Pakistan",,"Government boys Elementary school","0"
,,,,,"School","31.7288521","73.5722674","4.3","PHHC+GWR, Lalanwala Abdullahpur Bypas Road",,"PHHC+GWR, Lalanwala Abdullahpur Bypas Road, Safdarabad, Nankana Sahib, Punjab, Pakistan",,"GHS SAFDARABAD","3"
,,,,,"School","31.7336076","73.5754053","5","PHMG+C5R, Unnamed Road",,"PHMG+C5R, Unnamed Road, Saeed Nagar Safdarabad, Nankana Sahib, Punjab, Pakistan",,"AL Shafi Model School الشفیع ماڈل سکول","4"
,,,,,"School","31.2732373","74.225207","4.3","2KM",,"2KM, Raiwind, Pakistan",,"The Smart School Raiwind Campus","15"
,,,,,"School","31.2626452","74.2164452","4.3","Albazi Rd",,"Albazi Rd, Raiwind, Lahore, Punjab, Pakistan",,"Tameer-e-Seerat High Schools Raiwind N/R Govt Boys High School Raiwind","10"
,,,,,"School","31.2458499","74.212507","5","66W7+82J",,"66W7+82J, Raiwind, Lahore, Punjab, Pakistan",,"International School Of English","13"
,,,,,"School","31.2687804","74.198521","5","Link Sundar Road Near Tableghi Markez",,"Link Sundar Road Near Tableghi Markez, Raiwind, Kasur, Punjab 55150, Pakistan","55150","Paradigm School System","14"
,,,,,"Public educational institution","31.2303609","74.2045192","5","66J3+4RR",,"66J3+4RR, Raiwind, Lahore, Punjab, Pakistan",,"Mushtaq Public Model School","2"
"0","1","0","0","0","School","31.1391602","73.498439","4","4FQX+M98",,"4FQX+M98, Syed Wala, Nankana Sahib, Punjab 39150, Pakistan","39150","Govt Primary school Muhammad Wala","1"
"0","1","0","0","0","School","31.1448812","73.5000566","4","Mohalla Union Conal",,"Mohalla Union Conal, Sayedwala, Nankana Sahib, Punjab 39100, Pakistan","39100","Iqbal Public Grammer School Syedwala","1"
,,,,,"Educational institution","31.2445177","74.2150966","4.9","Raiwind Rd",,"Raiwind Rd, Raiwind، Kasur, Punjab 55150, Pakistan","55150","City Public High School Raiwind","12"
"2","0","0","0","0","School","31.1419772","73.5031127","5","4GR3+Q6X, Sayedwala - Bara Ghar- Bucheki Rd",,"4GR3+Q6X, Sayedwala - Bara Ghar- Bucheki Rd, Syed Wala, Nankana Sahib, Punjab, Pakistan",,"Faran school system","2"
,,,,,"School","31.2485063","74.210324","4.2","Barkat Complex, Sundar Raiwind Rd، near City Marriage Hall",,"Barkat Complex, Sundar Raiwind Rd، near City Marriage Hall, Raiwind, Kasur, Punjab 55150, Pakistan","55150","Dar-E-Arqam School, Raiwind","15"
,,,,,"School","31.1430437","73.4990529",,"4FVX+6J7",,"4FVX+6J7, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Govt Girls primary school Syedwala","0"
,,,,,"School","31.2624085","74.2186377","4.1","7669+XF6, Bypass",,"7669+XF6, Bypass, Raiwind, Lahore, Punjab, Pakistan",,"UNIQUE COLLEGE RAIWIND (Project Director M Zawar)","11"
,,,,,"Middle school","31.2332302","74.1963603","5","Near Railway Phatak Mahmood Nagar Babaliyana",,"Near Railway Phatak Mahmood Nagar Babaliyana, Raiwind, Pakistan",,"Suffah Grammar Junior School Raiwind Campus","1"
,,,,,"Charter school","31.1368487","73.4965808",,"4FPW+PJP, near PSO",,"4FPW+PJP, near PSO, Syed Wala, Nankana Sahib, Punjab, Pakistan",,"ALI AUN KHARRAL Academy","0"
,,,,,"School","31.1417363","73.4990383",,"Mohalla Union Council",,"Mohalla Union Council, Sayedwala, Nankana Sahib, Punjab 39150, Pakistan","39150","Burhan Public School","0"
,,,,,"High school","31.2600299","74.2147443","4.6",,,"Raiwind, Kasur, Punjab, Pakistan",,"Government high school (GHS) , Raiwind","21"
,,,,,"School","31.1371558","73.4984561",,"4FPX+V98, Sayedwala - Bara Ghar- Bucheki Rd",,"4FPX+V98, Sayedwala - Bara Ghar- Bucheki Rd, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Manzoor warcha school","0"
,,,,,"School","31.2604868","74.2016809","4.9",,,"Raiwind, Kasur, Punjab, Pakistan",,"Hashmat Public School","13"
,,,,,"High school","31.1381186","73.4983008",,"4FQX+68V Rawi chowk, near pso pum",,"4FQX+68V Rawi chowk, near pso pum, Syed Wala, Nankana Sahib, Punjab, Pakistan",,"Glorious vision school","0"
,,,,,"School","31.2655756","74.2213311","4.8","768C+6GP",,"768C+6GP, Raiwind, Lahore, Punjab, Pakistan",,"Excellence School System","4"
,,,,,"School","31.1425743","73.499163",,"Chakki wali gali House of Qasim raza, In Back of Government girls Primary School",,"Chakki wali gali House of Qasim raza, In Back of Government girls Primary School, Sayedwala, Nankana Sahib, Punjab 39100, Pakistan","39100","The Aims School System Syedwala","0"
,,,,,"High school","31.2415926","74.2151361","4.5","66R8+J3J, Pattoki Bus Stop, Kot Radha Kishan،, Pattoki - Raiwind Rd",,"66R8+J3J, Pattoki Bus Stop, Kot Radha Kishan،, Pattoki - Raiwind Rd, Raiwind, Lahore, Punjab, Pakistan",,"The Honest Higher Secondary School Raiwind","4"
"1","0","0","0","0","School","31.1446067","73.4968143","5","4FVW+RPW",,"4FVW+RPW, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Seerat Model School Syedwala","1"
,,,,,"High school","31.2477052","74.2006179","4.5","66X2+36Q, Manga - Raiwind Road",,"66X2+36Q, Manga - Raiwind Road, Raiwind, Kasur, Punjab, Pakistan",,"Great Chancellors High School","12"
,,,,,"School","31.1321859","73.5011164",,"240 mor Syedwala Rd",,"240 mor Syedwala Rd, Nankana Sahib, Punjab, Pakistan",,"The Educator","0"
,,,,,"School","31.2331541","74.2104736","5","66M6+759",,"66M6+759, Mission Colony Raiwind, Kasur, Punjab, Pakistan",,"Reader Grammar School","2"
,,,,,"School","31.2589629","74.2058958","4.2","7654+H9J Burhan chowk, Sundar Raiwind Rd",,"7654+H9J Burhan chowk, Sundar Raiwind Rd, Raiwind, Kasur, Punjab, Pakistan",,"Allied School Raiwind g","11"
,,,,,"School","31.2536069","74.2048432","5","7633+CWW, Bypass",,"7633+CWW, Bypass, Raiwind, Kasur, Punjab, Pakistan",,"Native Schools [Al-Miraj Campus]","2"
,,,,,"School","31.2308618","74.2048473","5","66J3+8WX",,"66J3+8WX, Mission Colony Raiwind, Lahore, Kasur, Punjab, Pakistan",,"new iqra public school","1"
,,,,,"Educational institution","31.1377324","73.4978953",,"Jaranwala-syedwala Road, Near PSO Pump, Ravi Chowk, road",,"Jaranwala-syedwala Road, Near PSO Pump, Ravi Chowk, road, Main Syed Wala, 39150, Pakistan","39150","OFFICER PUBLIC SCHOOL SYEDWALA(Crescent Model Academy Syedwala)","0"
"0","1","0","0","0","School","31.1438454","73.4957367","4","4FVW+G7Q",,"4FVW+G7Q, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Sheikh syedwala","1"
,,,,,"Charter school","31.1366797","73.4971869",,"4FPW+MVF",,"4FPW+MVF, Ruppa, Nankana Sahib, Punjab, Pakistan",,"Aun Tution Academy","0"
,,,,,"Primary school","31.1417363","73.4990383",,"4FRX+MJV, Post office syedwala pindi chery, road",,"4FRX+MJV, Post office syedwala pindi chery, road, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Kawera kallan Post office syedwala district nankana sahib","0"
,,,,,"Educational institution","31.1377646","73.4986058",,,,,,"Glorious Vision School","0"
"1","0","0","0","0","School","31.1426677","73.4952364","5","4FVW+339",,"4FVW+339, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Madni Masjid","1"
"0","1","0","0","0","College","31.1435625","73.4994375","4",,,"Sayedwala, Nankana Sahib, Punjab 39150, Pakistan","39150","Govt Girls College","1"
"1","1","1","0","0","Driving school","31.1295987","73.5005743","3.3","4GH2+84Q Bridge",,"4GH2+84Q Bridge, Syed Wala, Nankana Sahib, Punjab, Pakistan",,"Muhafiz driving school","3"
"5","0","0","0","0","Middle school","31.7259304","73.534354","5","PGGM+9PH",,"PGGM+9PH, Abdullahpur Kollar, Nankana Sahib, Punjab, Pakistan",,"Usama Public School","5"
,,,,,"Photography school","31.1426388","73.4963493",,"6 Sayedwala - Bara Ghar- Bucheki Rd",,"6 Sayedwala - Bara Ghar- Bucheki Rd, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"AL Rehman computer","0"
,,,,,"Elementary school","31.6966305","73.5534809",,"MHW3+M95",,"MHW3+M95, Thothian Kalan, Nankana Sahib, Punjab, Pakistan",,"Government girls elementary school","0"
"0","1","0","0","0","School","31.7314679","73.5816666","4","PHJJ+HMM, Railway Rd",,"PHJJ+HMM, Railway Rd, Saeed Nagar Safdarabad, Sheikhupura, Punjab, Pakistan",,"District Public School","1"
"1","0","0","0","0","School","31.6838363","73.6274959","5","MJMG+GXQ",,"MJMG+GXQ, Wayan Wali, Nankana Sahib, Punjab, Pakistan",,"Govt boys Primary school wayan wali","1"
"3","0","0","0","0","School","31.2518299","74.2213799","5","762C+PHJ",,"762C+PHJ, Raiwind, Lahore, Punjab, Pakistan",,"MY School Raiwind","3"
"2","0","0","0","0","School","31.2561724","74.2349139","5","764M+FX7",,"764M+FX7, Raiwind, Kasur, Punjab, Pakistan",,"The advance learning school","2"
"2","0","0","0","0","High school","31.2363586","74.2093521","5","66P5+GP9, Unnamed Road",,"66P5+GP9, Unnamed Road, Mission Colony Raiwind, Kasur, Punjab, Pakistan",,"Al Samad educational complex and computer college Raiwind","2"
"2","0","0","1","0","Middle school","31.2525301","74.1867397","4.3","753P+2M9, Manga - Raiwind Road",,"753P+2M9, Manga - Raiwind Road, Raiwind, Kasur, Punjab, Pakistan",,"Everything Mind Education Complex","3"
"1","0","0","0","0","School","31.251513","74.2204744","5","near Post Office",,"near Post Office, Railway Colony Raiwind, Lahore, Punjab, Pakistan",,"Al-Ahad Education System","1"
"1","0","0","0","0","School center","31.257336","74.1700079","5","4, 5KM Manga - Raiwind Road",,"4, 5KM Manga - Raiwind Road, Wara Jhanda Singh Village Raiwind, Kasur, Punjab 55150, Pakistan","55150","TCF School (Saadat ikram Compus)","1"
"3","0","0","0","0","School","31.2423853","74.2134237","5","Police Station, Road",,"Police Station, Road, Raiwind, Kasur, Punjab, Pakistan",,"Pakistan School of Science & Computer College","3"
"5","1","0","0","0","School","31.2524319","74.2155789","4.8","7628+X6G",,"7628+X6G, Railway Colony Gulberg Town Raiwind, Lahore, Kasur, Punjab, Pakistan",,"Jinnah Islamia High School","6"
"1","0","0","0","0","School","31.2581888","74.1613063","5","7556+7GF, Road",,"7556+7GF, Road, Manga Raiwind, Kasur, Punjab, Pakistan",,"NEC school system.(Noor eductional comex& academy)","1"
"3","0","0","0","0","School","31.2453125","74.2135907","5","Office No 9,10 1st Floor, Haji Nazeer Center",,"Office No 9,10 1st Floor, Haji Nazeer Center, Raiwind, Kasur, Punjab 55150, Pakistan","55150","The Eastern School of Science (City Office)","3"
"1","0","0","0","0","School","31.2218979","74.2530894","5","67C3+Q64",,"67C3+Q64, Raja Jang, Kasur, Punjab, Pakistan",,"UNIVERSITY PUBLIC HIGH SCHOOL RAJA JANG","1"
"4","0","0","0","0","School","31.2436908","74.2222644","5","66VC+FWC",,"66VC+FWC, Basti Amin Pura Basti Aminpura Raiwind, Kasur, Punjab, Pakistan",,"The Model School","4"
,,,,,"Primary school","31.2448759","74.213717",,"house no 7, Afzal colony, Street no 3, near khara Chowk",,"house no 7, Afzal colony, Street no 3, near khara Chowk, Raiwind, Lahore, Pakistan",,"NFBE School","0"
